feature,dtype,null_pct,nunique,std_fraud,std_normal,mean_fraud,mean_normal
is_agendamento_recorrente,float64,1.0,0,,,,
tempo_interacao_ms_final,float64,1.0,0,,,,
vl_tempo_interacao_medio_trimestre,float64,1.0,0,,,,
ratio_tempo_interacao_cliente,float64,1.0,0,,,,
diff_tempo_interacao_cliente,float64,1.0,0,,,,
metodo_autenticacao,str,0.8215,1,0.0,0.0,1.0,1.0
minutes_since_prev_tx,float64,0.7781,22147,11393.7804,22555.8019,3175.2332,26600.5936
ratio_pix_renda,float64,0.7147,22994,193288.3338,76277.9562,54478.3775,6667.303
topaz_risk_score,float64,0.2831,17,20.4229,14.7998,22.7516,12.1693
latencia_rede_ms_final,float64,0.2746,3475,852.7577,1573.4578,707.8438,831.9964
tempo_processamento_host_ms,float64,0.2746,3286,757.4348,1433.4242,655.8125,784.2966
ratio_latencia_cliente,float64,0.2746,72400,0.3906,1.2608,1.0,1.0334
latencia_host_ratio,float64,0.2746,16734,0.4604,0.3128,1.08,1.0596
diff_latencia_cliente,float64,0.2746,69183,615.0305,1513.7929,0.0,36.5692
session_id,str,0.2742,72703,,,,
ip_address,str,0.2742,54326,,,,
app_version,str,0.2742,6,,,,
device_name,str,0.2742,37296,1051200165537.7792,,253251446844.1482,inf
device_name_normalized,str,0.2742,35073,1051200165537.7792,,253251446844.1482,inf
app_version_minor,float64,0.2742,5,0.9023,0.7463,30.4268,30.1433
cd_retorno,str,0.2616,5,80.9168,620.6455,4.5093,7.3276
vl_latencia_rede_media_trimestre,float64,0.2536,56501,587.6077,366.5675,705.7531,797.5167
ds_sexo,str,0.0544,2,,,,
ds_estado_civil,str,0.0528,7,,,,
zscore_intervalo_aprox,float64,0.0057,97731,2.8624,1.1575,-0.0871,0.3327
zscore_valor_aprox,float64,0.0038,91374,0.9682,0.9892,0.2064,0.306
ratio_valor_desvio_padrao,float64,0.0038,98096,767.5413,3.0054,81.2172,0.6375
vl_desvio_padrao_pix_trimestre,float64,0.0031,77697,6436.7075,13097.0346,3578.1838,915.6958
ratio_intervalo_vs_mediana,float64,0.0031,95370,169.7587,624.6404,19.8071,18.2258
ds_chave_pix,str,0.0014,69405,22419086144026.184,13566834398439.979,13171327590930.404,7851243697597.645
ds_tipo_chave,str,0.0014,4,,,,
key_tx_count_prev,float64,0.0014,9,1.5242,0.1549,0.8822,0.0194
ds_segmento,str,0.0006,16,,,,
cd_cpf_cnpj_recebedor,object,0.0,67704,,,,
qt_tempo_relacionamento_mes,int64,0.0,668,184.5515,148.6372,272.5718,145.4706
nr_idade,int64,0.0,107,18.8559,15.5186,57.431,42.7191
qt_aparelhos_distintos_trimestre,int64,0.0,24,0.3576,1.0856,0.9549,1.3387
qt_pix_dia_maximo_trimestre,int64,0.0,126,3.5344,11.5998,3.7634,9.9934
qt_intervalo_desvio_padrao_trimestre,float64,0.0,77571,2796.1442,3642.6919,483.1706,3025.5857
qt_intervalo_mediana_trimestre,float64,0.0,53632,1994.1586,2578.4567,330.1361,900.4438
qt_intervalo_transacao_minuto,float64,0.0,59110,3441.4881,4641.1257,425.4021,1775.0366
vl_mediana_pix_trimestre,float64,0.0,11131,8955.2117,1492.8412,5243.5158,125.3976
log_vl_pix,float64,0.0,15547,1.2652,1.5632,7.9033,3.9881
is_first_tx_trimestre,int64,0.0,2,0.4595,0.0453,0.3014,0.0021
qt_total_pix_trimestre,int64,0.0,1091,3.7411,223.9979,4.1549,165.4192
vl_pix_over_1000_flag,int64,0.0,2,0.4184,0.2248,0.7746,0.0534
pix_key_missing_flag_derived,int64,0.0,2,0.1392,0.0362,0.0197,0.0013
vl_pix,float64,0.0,15547,10656.0297,7830.1297,6191.6732,384.4973
pix_key_other_flag,int64,0.0,2,0.3394,0.432,0.1324,0.2483
pix_key_document_flag,int64,0.0,2,0.4959,0.4392,0.431,0.261
pix_key_random_flag,int64,0.0,2,0.4875,0.4946,0.3859,0.4267
pix_key_email_flag,int64,0.0,2,0.1735,0.2423,0.031,0.0626
receiver_document_same_as_customer_flag,int64,0.0,2,0.2465,0.0,0.0648,0.0
ratio_valor_mediana,float64,0.0,43916,3.3633,19.4676,1.5205,3.3638
diff_intervalo_vs_mediana,float64,0.0,89204,2619.2714,4558.8193,95.266,874.5928
receiver_tx_count_prev,int64,0.0,11,1.5465,0.1934,0.938,0.0255
burst_30m_flag,int64,0.0,2,0.4922,0.0411,0.4085,0.0017
diff_valor_mediana,float64,0.0,29981,6001.0432,6901.762,948.1574,259.0997
first_key_flag,int64,0.0,2,0.4875,0.1354,0.6141,0.9813
first_receiver_flag,int64,0.0,2,0.4906,0.1451,0.6,0.9785
distinct_receivers_so_far,int64,0.0,16,0.8446,0.708,1.4761,1.2927
distinct_keys_so_far,int64,0.0,17,0.9,0.72,1.4958,1.2982
day_of_week,int32,0.0,7,1.8232,1.94,2.5155,2.9303
hour,int32,0.0,24,3.4673,4.8709,13.893,14.0123
is_business_hours,int64,0.0,2,0.3166,0.4488,0.8873,0.7204
tx_count_prev_30m,int64,0.0,13,2.0008,0.0418,1.0507,0.0017
topaz_score_filled,float64,0.0,17,20.5313,13.6749,19.8676,8.718
topaz_rejeitada_flag,int64,0.0,1,0.0,0.0,0.0,0.0
is_login_senha_flag,int64,0.0,1,0.0,0.0,0.0,0.0
metodo_auth_encoded,int64,0.0,1,0.0,0.0,3.0,3.0
is_agendamento_recorrente_flag,int64,0.0,1,0.0,0.0,0.0,0.0
is_sexo_feminino_flag,int64,0.0,2,0.4917,0.4986,0.5944,0.462
is_viuvo_flag,int64,0.0,2,0.2015,0.2212,0.0423,0.0516
is_login_biometria_flag,int64,0.0,1,0.0,0.0,0.0,0.0
tp_primeiro_envio_recebedor_trimestre,int64,0.0,2,0.4906,0.4997,0.6,0.5165
qt_envio_recebedor_trimestre,int64,0.0,338,1.5465,21.617,1.938,6.0956
device_missing_flag,int64,0.0,2,0.2947,0.4465,0.0958,0.2749
app_version_missing_flag,int64,0.0,2,0.2947,0.4464,0.0958,0.2748
auth_method_missing_flag,int64,0.0,2,0.4146,0.3828,0.7803,0.8216
topaz_missing_flag,int64,0.0,2,0.3332,0.4508,0.1268,0.2836
host_time_missing_flag,int64,0.0,2,0.2985,0.4466,0.0986,0.2752
is_segmento_premium_flag,int64,0.0,2,0.4047,0.5,0.7944,0.4987
latencia_missing_flag,int64,0.0,2,0.2985,0.4466,0.0986,0.2752
tempo_interacao_missing_flag,int64,0.0,1,0.0,0.0,1.0,1.0
vl_renda_cliente,float64,0.0,15649,3669.4933,4426.2698,2429.5735,1203.9004
qt_dependentes,int64,0.0,1,0.0,0.0,0.0,0.0
pix_over_50pct_renda_flag,int64,0.0,2,0.4832,0.2722,0.369,0.0806
pix_over_100pct_renda_flag,int64,0.0,2,0.4433,0.2666,0.2676,0.077
renda_missing_flag,int64,0.0,2,0.4937,0.4511,0.4169,0.7158
perfil_vulneravel_se_flag,int64,0.0,2,0.1574,0.1281,0.0254,0.0167
rule_age_score,int64,0.0,4,1.1443,0.6138,1.0648,0.2199
rule_relationship_score,int64,0.0,4,1.1398,1.2033,0.6901,1.2854
rule_mule_account_score,int64,0.0,3,0.9583,0.2902,1.231,1.957
rule_random_key_score,int64,0.0,3,0.9658,0.9645,0.8028,0.916
