class,score
0,4.738525128145186e-06
0,5.5569056370014e-07
0,4.3592126137408487e-07
0,5.159604638630112e-06
0,7.631309598362567e-07
0,2.4638017623068437e-05
0,8.036355578458422e-08
0,2.895265918385353e-07
0,1.0604202573800104e-07
0,1.294608015253735e-06
0,6.656171210191465e-07
0,1.3161572230337559e-06
0,9.502750050484097e-07
0,7.553560892118005e-06
0,3.84808483015199e-07
0,1.468589092791746e-05
0,5.70242683721595e-07
0,8.514858161401124e-08
0,1.9452171721922783e-07
0,2.9509679806729e-07
0,6.300550673453054e-07
0,3.5360088015900217e-06
0,2.167825672185661e-05
0,4.5018784412063586e-07
0,1.8256927607116521e-07
0,2.3360209265985065e-07
0,4.4277289225822715e-07
0,8.231838296523215e-07
0,2.542143377265269e-07
0,2.7567284193374844e-07
0,1.0996069554697926e-06
0,4.1716450639448e-07
0,2.8791643735521843e-06
0,9.480864375441019e-07
0,2.552953161703518e-07
0,3.406049938549949e-07
0,1.6924401467884016e-07
0,1.4771635684302595e-06
0,3.565393723119478e-07
0,7.504746829761321e-07
0,1.2602751655061285e-07
0,2.6318165592882306e-07
0,4.5454797856141164e-06
0,1.5061016369749481e-06
0,8.391431049602194e-07
0,1.934747827299816e-06
0,1.7738423081499117e-06
0,2.40893987877884e-07
0,5.342759581608671e-06
0,1.2155808711222698e-07
0,9.207318360622874e-07
0,3.099211796002501e-06
0,1.477163461259686e-06
0,5.609658823230633e-07
0,1.4474687087055174e-06
0,3.64232905365557e-07
0,1.6548532959176754e-06
0,1.6736890633227874e-07
0,8.924053503209702e-06
0,2.491030779641133e-06
0,1.5418216440217602e-07
0,5.441083387604447e-07
0,2.828835424587021e-07
0,5.358881748345228e-07
0,1.0244022378576514e-06
0,2.4964383743312696e-07
0,1.2431707247168054e-06
0,2.05741748392351e-05
0,1.4950265641017103e-05
0,8.014263653639079e-06
0,2.41381590511242e-06
0,4.010245823857064e-07
0,3.757881971213917e-07
0,5.133336413389077e-07
0,2.431529512959832e-06
0,1.300231702195741e-06
0,6.626719406423171e-06
0,9.821298083878522e-07
0,0.0010585326039855934
0,6.09732049689799e-06
0,1.13247254808114e-06
0,2.012110988435015e-06
0,6.656418503721764e-07
0,8.122714307956581e-07
0,3.682667121657846e-07
0,1.9329893723523267e-06
0,1.0533308360300792e-06
0,5.976148226320944e-06
0,6.174301610959302e-07
0,4.2398700821073743e-07
0,8.726882114592827e-07
0,5.406813714852806e-07
0,3.7396411672585527e-06
0,1.9212361502432315e-07
0,7.7261763854637e-07
0,3.3942485708022307e-07
0,6.853062692493486e-06
