n_estimators,max_samples,max_features,contamination,val_ap,val_auc,val_recall_5pct
800,0.8,0.7,0.01,0.333794079414662,0.880515456044319,0.5443037974683544
800,0.8,0.7,0.005,0.333794079414662,0.880515456044319,0.5443037974683544
800,0.8,0.7,0.02,0.333794079414662,0.880515456044319,0.5443037974683544
800,0.8,0.7,0.03,0.333794079414662,0.880515456044319,0.5443037974683544
800,0.8,0.7,0.05,0.333794079414662,0.880515456044319,0.5443037974683544
800,0.8,0.7,0.08,0.333794079414662,0.880515456044319,0.5443037974683544
500,0.8,0.7,0.005,0.3330480633962177,0.8822963319391495,0.5443037974683544
500,0.8,0.7,0.01,0.3330480633962177,0.8822963319391495,0.5443037974683544
500,0.8,0.7,0.02,0.3330480633962177,0.8822963319391495,0.5443037974683544
500,0.8,0.7,0.03,0.3330480633962177,0.8822963319391495,0.5443037974683544
500,0.8,0.7,0.05,0.3330480633962177,0.8822963319391495,0.5443037974683544
500,0.8,0.7,0.08,0.3330480633962177,0.8822963319391495,0.5443037974683544
500,0.8,0.8,0.005,0.32400812437686277,0.8744690989217758,0.5443037974683544
500,0.8,0.8,0.01,0.32400812437686277,0.8744690989217758,0.5443037974683544
500,0.8,0.8,0.02,0.32400812437686277,0.8744690989217758,0.5443037974683544
500,0.8,0.8,0.03,0.32400812437686277,0.8744690989217758,0.5443037974683544
500,0.8,0.8,0.05,0.32400812437686277,0.8744690989217758,0.5443037974683544
500,0.8,0.8,0.08,0.32400812437686277,0.8744690989217758,0.5443037974683544
800,0.8,1.0,0.02,0.323655573177311,0.8717022053156405,0.5443037974683544
800,0.8,1.0,0.03,0.323655573177311,0.8717022053156405,0.5443037974683544
800,0.8,1.0,0.005,0.323655573177311,0.8717022053156405,0.5443037974683544
800,0.8,1.0,0.01,0.323655573177311,0.8717022053156405,0.5443037974683544
800,0.8,1.0,0.08,0.323655573177311,0.8717022053156405,0.5443037974683544
800,0.8,1.0,0.05,0.323655573177311,0.8717022053156405,0.5443037974683544
300,0.8,0.7,0.02,0.3236387591897735,0.8857095602721774,0.5569620253164557
300,0.8,0.7,0.03,0.3236387591897735,0.8857095602721774,0.5569620253164557
300,0.8,0.7,0.05,0.3236387591897735,0.8857095602721774,0.5569620253164557
300,0.8,0.7,0.08,0.3236387591897735,0.8857095602721774,0.5569620253164557
300,0.8,0.7,0.01,0.3236387591897735,0.8857095602721774,0.5569620253164557
300,0.8,0.7,0.005,0.3236387591897735,0.8857095602721774,0.5569620253164557
500,0.7,1.0,0.03,0.3228218566726685,0.8775641965700921,0.5569620253164557
500,0.7,1.0,0.02,0.3228218566726685,0.8775641965700921,0.5569620253164557
500,0.7,1.0,0.005,0.3228218566726685,0.8775641965700921,0.5569620253164557
500,0.7,1.0,0.01,0.3228218566726685,0.8775641965700921,0.5569620253164557
500,0.7,1.0,0.08,0.3228218566726685,0.8775641965700921,0.5569620253164557
500,0.7,1.0,0.05,0.3228218566726685,0.8775641965700921,0.5569620253164557
800,0.8,0.8,0.03,0.32196110162637476,0.8722904425389921,0.5443037974683544
800,0.8,0.8,0.02,0.32196110162637476,0.8722904425389921,0.5443037974683544
800,0.8,0.8,0.005,0.32196110162637476,0.8722904425389921,0.5443037974683544
800,0.8,0.8,0.01,0.32196110162637476,0.8722904425389921,0.5443037974683544
