threshold,tp,fp,fn,tn,precision,recall,f1,fpr
0.05,80,9578,0,378,0.008283,1.0,0.01643,0.962033
0.055,80,9541,0,415,0.008315,1.0,0.016493,0.958317
0.06,80,9506,0,450,0.008346,1.0,0.016553,0.954801
0.065,80,9473,0,483,0.008374,1.0,0.01661,0.951487
0.07,80,9433,0,523,0.00841,1.0,0.016679,0.947469
0.075,80,9383,0,573,0.008454,1.0,0.016766,0.942447
0.08,80,9331,0,625,0.008501,1.0,0.016858,0.937224
0.085,80,9299,0,657,0.00853,1.0,0.016915,0.93401
0.09,80,9256,0,700,0.008569,1.0,0.016992,0.929691
0.095,80,9198,0,758,0.008623,1.0,0.017098,0.923865
0.1,80,9137,0,819,0.00868,1.0,0.01721,0.917738
0.105,80,9093,0,863,0.008721,1.0,0.017292,0.913319
0.11,80,9042,0,914,0.00877,1.0,0.017388,0.908196
0.115,80,9000,0,956,0.008811,1.0,0.017467,0.903978
0.12,80,8956,0,1000,0.008853,1.0,0.017552,0.899558
0.125,80,8917,0,1039,0.008892,1.0,0.017627,0.895641
0.13,80,8872,0,1084,0.008937,1.0,0.017715,0.891121
0.135,80,8822,0,1134,0.008987,1.0,0.017813,0.886099
0.14,80,8775,0,1181,0.009034,1.0,0.017907,0.881378
0.145,80,8744,0,1212,0.009066,1.0,0.017969,0.878264
0.15,80,8684,0,1272,0.009128,1.0,0.018091,0.872238
0.155,80,8642,0,1314,0.009172,1.0,0.018178,0.868019
0.16,80,8605,0,1351,0.009211,1.0,0.018254,0.864303
0.165,80,8561,0,1395,0.009258,1.0,0.018347,0.859883
0.17,80,8518,0,1438,0.009304,1.0,0.018437,0.855564
0.175,80,8494,0,1462,0.009331,1.0,0.018489,0.853154
0.18,80,8459,0,1497,0.009369,1.0,0.018564,0.849638
0.185,80,8421,0,1535,0.009411,1.0,0.018646,0.845822
0.19,80,8384,0,1572,0.009452,1.0,0.018727,0.842105
0.195,80,8328,0,1628,0.009515,1.0,0.01885,0.836481
0.2,80,8287,0,1669,0.009561,1.0,0.018942,0.832362
0.205,80,8232,0,1724,0.009625,1.0,0.019066,0.826838
0.21,80,8185,0,1771,0.009679,1.0,0.019173,0.822117
