feature,importance_gain
max_qtd_pix_recebidos_dia_180d,936176.6359405518
dias_desde_ultima_transacao_recebedor,701404.6033916473
dias_desde_primeiro_envio_recebedor,647833.4844970703
soma_pagadores_distintos_dia_recebedor_180d,464008.96142578125
vl_pix,190340.22297668457
valor_total_recebido_180d,118408.36988067627
ds_tipo_chave_norm,104209.52178674936
ratio_valor_media_pagador_90d,79017.9342956543
valor_medio_para_recebedor_180d,67051.02019119263
valor_total_recebido_90d,66654.23947143555
valor_total_pagador_30d,60291.287200927734
topaz_risk_score,51763.095458984375
hour,50808.21471405029
valor_total_pagador_180d,45801.20111846924
qtd_pix_recebidos_180d,38513.31452560425
valor_total_pagador_7d,36328.10500717163
valor_maximo_pix_pagador_180d,32802.52727508545
app_version,32374.647048950195
ratio_valor_pix_vs_max_recebedor_180d,30363.690002441406
ip_address,24737.509857177734
valor_total_recebido_30d,24710.704475402832
ratio_valor_maximo_pagador_180d,23879.9066696167
periodo_dia,23351.979919433594
qtd_pix_recebidos_30d,23336.189208984375
soma_recebedores_distintos_dia_180d,21370.4146194458
qtd_pix_pagador_180d,15918.939041137695
qtd_pix_pagador_90d,15764.069374084473
device_name,14218.841796875
valor_total_para_recebedor_180d,13974.458824157715
tempo_processamento_host_ms,12596.839140892029
max_qtd_pix_dia_pagador_7d,10524.111877441406
valor_total_pagador_90d,10507.989990234375
qtd_pix_pagador_7d,9607.951049804688
qtd_pix_pagador_30d,9099.191665649414
qtd_pix_mesmo_recebedor_180d,8861.519397735596
qtd_pix_mesmo_recebedor_30d,7915.4901123046875
first_receiver_flag_real,7569.47021484375
latencia_rede_ms,6506.612014770508
max_qtd_pix_dia_pagador_30d,3533.4790649414062
mbk_completeness_score,2610.1099853515625
value_band,2553.85009765625
qtd_pix_mesmo_recebedor_90d,2094.5669555664062
valor_total_para_recebedor_30d,1852.9109802246094
qtd_pix_recebidos_90d,1048.3910217285156
qtd_pix_mesmo_recebedor_7d,269.6789855957031
burst_daily_7d_flag,0.0
autcodret,0.0
primeiro_envio_para_recebedor_180d,0.0
metodo_autenticacao,0.0
mbk_available_flag,0.0
is_recebedor_recorrente_180d,0.0
is_agendamento_recorrente,0.0
tempo_interacao_ms,0.0
topaz_transacao_rejeitada,0.0
valor_total_para_recebedor_90d,0.0
