split,is_fraud,score_raw,score_calibrated
holdout,0,1.375e-05,0.0
holdout,0,1.82e-06,0.0
holdout,0,1.37e-06,0.0
holdout,0,0.00012492,0.00157978
holdout,0,3.6e-07,0.0
holdout,0,0.00153909,0.00307094
holdout,0,3.26e-06,0.0
holdout,0,1.174e-05,0.0
holdout,0,1.09e-06,0.0
holdout,0,1e-06,0.0
holdout,0,4.8e-06,0.0
holdout,0,2.35e-06,0.0
holdout,0,6.39e-06,0.0
holdout,0,1.536e-05,0.0
holdout,0,4.955e-05,0.0
holdout,0,3.6e-06,0.0
holdout,0,0.00050879,0.00103842
holdout,0,2.58e-06,0.0
holdout,0,7.95e-06,0.0
holdout,0,4.11e-06,0.0
holdout,0,6.7e-07,0.0
holdout,0,1.6e-06,0.0
holdout,0,2.69e-06,0.0
holdout,0,4.82e-06,0.0
holdout,0,1.97e-06,0.0
holdout,0,1.77e-06,0.0
holdout,0,1.29e-06,0.0
holdout,0,2.353e-05,0.0
holdout,0,5.35e-06,0.0
holdout,0,4.41e-06,0.0
holdout,0,3.08e-06,0.0
holdout,0,0.00021517,0.00207684
holdout,0,7.5e-07,0.0
holdout,0,9.49e-06,0.0
holdout,0,5.15e-06,0.0
holdout,0,7.52e-06,0.0
holdout,0,8e-07,0.0
holdout,0,9.6e-07,0.0
holdout,0,1.05e-06,0.0
holdout,0,0.00016677,0.0
holdout,0,1.27e-06,0.0
holdout,0,1.047e-05,0.0
holdout,0,1.9e-06,0.00103842
holdout,0,1.49e-06,0.0
holdout,0,0.0005951,0.00103842
holdout,0,6.97e-06,0.0
holdout,0,5.17e-06,0.0
holdout,0,4.32e-06,0.0
holdout,0,1.64e-06,0.0
holdout,0,9.8e-07,0.0
holdout,0,7.64e-06,0.0
holdout,0,8.6e-07,0.0
holdout,0,6.9e-06,0.0
holdout,0,1.29e-06,0.0
holdout,0,1.5e-06,0.0
holdout,0,9.7e-07,0.0
holdout,0,2.79e-06,0.0
holdout,0,1.79e-06,0.0
holdout,0,1.535e-05,0.0
holdout,0,1.55e-06,0.0
holdout,0,1.26e-06,0.0
holdout,0,8.87e-06,0.0
holdout,0,1.24e-06,0.0
holdout,0,1.489e-05,0.0
holdout,0,3.87e-06,0.0
holdout,0,3.43e-06,0.0
holdout,0,7.79e-06,0.0
holdout,0,1.607e-05,0.0
holdout,0,9.582e-05,0.00207684
holdout,0,2.517e-05,0.00207684
holdout,0,4.799e-05,0.0
holdout,0,6.3e-07,0.0
holdout,0,1.8e-06,0.0
holdout,0,7.13e-06,0.0
holdout,0,6.2e-06,0.0
holdout,0,4.6e-07,0.0
holdout,0,1.489e-05,0.0
holdout,0,4.646e-05,0.0
holdout,0,0.02610134,0.16794122
holdout,0,1.01e-06,0.0
holdout,0,4.4e-06,0.0
holdout,0,2.99e-06,0.0
holdout,0,8.5e-07,0.0
holdout,0,1.37e-06,0.0
holdout,0,2.09e-06,0.0
holdout,0,7.32e-06,0.0
holdout,0,4.89e-06,0.0
holdout,0,3.05e-06,0.0
holdout,0,2.23e-06,0.0
holdout,0,6.72e-06,0.0
holdout,0,5.08e-06,0.0
holdout,0,8.4e-07,0.0
holdout,0,2.68e-06,0.0
holdout,0,2.6e-06,0.0
holdout,0,7.8e-07,0.0
holdout,0,4.1e-07,0.0
holdout,0,2.139e-05,0.00103842
holdout,0,4.56e-06,0.0
holdout,0,5.107e-05,0.0
holdout,0,1.242e-05,0.0
holdout,0,4.53e-06,0.0
holdout,0,4.712e-05,0.0
holdout,0,1.544e-05,0.0
holdout,0,7.62e-06,0.0
holdout,0,2.775e-05,0.0
holdout,0,5.6e-06,0.0
holdout,0,4.34e-06,0.0
holdout,0,6.69e-06,0.0
holdout,0,2.42e-06,0.0
holdout,0,4.05e-06,0.0
holdout,0,1.17e-05,0.0
holdout,0,5.5e-07,0.0
holdout,0,1.152e-05,0.0
holdout,0,1.76e-06,0.0
holdout,0,1.14e-06,0.0
holdout,0,1.11e-06,0.0
holdout,0,1.27e-06,0.0
holdout,0,1.23e-06,0.0
holdout,0,4.674e-05,0.01262131
holdout,0,3.3e-06,0.0
holdout,0,5.5e-07,0.0
holdout,0,3.38e-06,0.0
holdout,0,6.91e-06,0.0
holdout,0,8.08e-06,0.0
holdout,0,6.7e-07,0.0
holdout,0,6.24e-06,0.0
holdout,0,9.6e-06,0.0
holdout,0,2.27e-06,0.0
holdout,0,1.15e-06,0.0
holdout,0,3.83e-06,0.0
holdout,0,9.7e-07,0.0
holdout,0,4.62e-06,0.0
holdout,0,5.1e-07,0.0
holdout,0,1.76e-05,0.0
holdout,0,6.6e-07,0.0
holdout,0,1.39e-06,0.0
holdout,0,1.48e-06,0.0
holdout,0,1.811e-05,0.0
holdout,0,1.53e-06,0.0
holdout,0,9.8e-06,0.0
holdout,0,6.3e-07,0.0
holdout,0,1.178e-05,0.0
holdout,0,1.27e-06,0.0
holdout,0,1.092e-05,0.0
holdout,0,4.78e-06,0.0
holdout,0,4e-07,0.0
holdout,0,4.18e-06,0.0
holdout,0,1.04e-06,0.0
holdout,0,5.1e-07,0.0
holdout,0,8.5e-07,0.0
holdout,0,3.15e-06,0.0
holdout,0,1e-06,0.00103842
holdout,0,9.05e-06,0.0
holdout,0,3.57e-06,0.0
holdout,0,1.86e-06,0.0
holdout,0,3.01e-06,0.0
holdout,0,2.58e-06,0.0
holdout,0,6.4e-07,0.0
holdout,0,7.3e-07,0.0
holdout,0,1.04e-06,0.0
holdout,1,0.71742112,0.14433272
holdout,0,4e-07,0.0
holdout,0,1.36e-06,0.0
holdout,0,1.31e-06,0.0
holdout,0,5.05e-06,0.0
holdout,0,6.86e-06,0.0
holdout,0,1.51e-06,0.0
holdout,0,6.08e-06,0.0
holdout,0,1.34e-06,0.0
holdout,0,5.2e-07,0.0
holdout,0,3.27e-06,0.0
holdout,0,3.74e-06,0.0
holdout,0,9.81e-06,0.0
holdout,0,0.00014724,0.00103842
holdout,0,1.17e-06,0.0
holdout,0,5.36e-06,0.0
holdout,0,9.41e-06,0.0
holdout,0,1.17e-06,0.0
holdout,0,2.46e-06,0.0
holdout,0,9.9e-07,0.0
holdout,0,5.73e-06,0.0
holdout,0,2.01e-06,0.0
holdout,0,7.1e-07,0.0
holdout,0,5.6e-07,0.0
holdout,1,0.99926083,0.24201529
holdout,0,7.31e-05,0.0
holdout,0,3.462e-05,0.00103842
holdout,0,2.55e-06,0.0
holdout,0,3.06e-06,0.0
holdout,0,4.58e-06,0.0
holdout,0,2.2e-06,0.0
holdout,0,1.57e-06,0.0
holdout,0,2.98e-06,0.0
holdout,0,8.32e-06,0.0
holdout,0,1.06e-06,0.0
holdout,0,2.43e-06,0.0
holdout,0,1.19e-06,0.0
holdout,0,1.57e-06,0.0
holdout,0,0.00477626,0.12118457
holdout,0,3.39e-06,0.0
holdout,0,1.3e-06,0.0
holdout,0,4e-07,0.0
holdout,0,2.25e-06,0.0
holdout,0,5.62e-06,0.0
holdout,0,1.13e-06,0.0
holdout,0,1.24e-06,0.0
holdout,0,3.77e-06,0.0
holdout,0,1.34e-06,0.0
holdout,0,1.49e-06,0.0
holdout,0,4.07e-06,0.0
holdout,1,0.95876882,0.18169643
holdout,0,9e-07,0.0
holdout,0,1.13e-06,0.0
holdout,0,8.7e-07,0.0
holdout,0,1.75e-06,0.0
holdout,0,4.2e-06,0.0
holdout,0,1.22e-06,0.0
holdout,0,1.28e-06,0.0
holdout,0,7.53e-05,0.0
holdout,0,1.16e-06,0.0
holdout,0,2.97e-06,0.0
holdout,0,5e-07,0.0
holdout,0,8.7e-07,0.0
holdout,0,6.8e-07,0.0
holdout,0,1.77e-06,0.0
holdout,0,3.53e-06,0.0
holdout,0,3.01e-06,0.0
holdout,0,6.4e-07,0.0
holdout,0,6.7e-07,0.0
holdout,0,2.12e-06,0.0
holdout,0,1.36e-06,0.0
holdout,0,1.7e-06,0.0
holdout,0,7.1e-07,0.0
holdout,0,1.08e-06,0.0
holdout,0,9.7e-07,0.0
holdout,0,1.05e-06,0.0
holdout,0,1.66e-06,0.0
holdout,0,1.06e-06,0.0
holdout,0,5.8e-07,0.0
holdout,0,1.657e-05,0.0
holdout,0,2.18e-06,0.0
holdout,0,8.69e-06,0.0
holdout,0,2.2e-06,0.0
holdout,0,1.43e-06,0.0
holdout,0,1.5e-06,0.0
holdout,0,5.86e-06,0.0
holdout,0,2.534e-05,0.0
holdout,0,1.89e-06,0.0
holdout,0,1.31e-06,0.0
holdout,0,2.6e-06,0.0
holdout,0,8.7e-07,0.0
holdout,0,1.31e-06,0.0
holdout,0,1.11e-06,0.0
holdout,0,1.437e-05,0.0
holdout,0,1.2e-06,0.0
holdout,0,1.39e-06,0.0
holdout,0,6.02e-06,0.0
holdout,0,2.83e-06,0.0
holdout,0,6.43e-06,0.0
holdout,0,1.14e-06,0.0
holdout,0,9.7e-07,0.0
holdout,0,1.03e-06,0.0
holdout,0,4.02e-06,0.0
holdout,0,1.11e-06,0.0
holdout,0,1.28e-06,0.0
holdout,0,5.826e-05,0.0
holdout,0,9.3e-07,0.0
holdout,0,4.72e-06,0.0
holdout,0,2.87e-06,0.0
holdout,0,1.91e-06,0.0
holdout,0,1.12e-06,0.0
holdout,0,4.25e-06,0.0
holdout,0,9.5e-07,0.0
holdout,0,2.25e-06,0.0
holdout,0,6.7e-07,0.0
holdout,0,1.8e-06,0.0
holdout,0,2.86e-06,0.0
holdout,0,1.86e-06,0.0
holdout,0,1.29e-05,0.0
holdout,0,0.00023071,0.0
holdout,0,5.1e-07,0.0
holdout,0,4.278e-05,0.00103842
holdout,0,6.7e-07,0.0
holdout,0,9.3e-07,0.0
holdout,0,1.7e-06,0.0
holdout,0,2.53e-06,0.0
holdout,0,9.9e-07,0.0
holdout,0,1.82e-06,0.0
holdout,0,1.016e-05,0.0
holdout,0,2.78e-06,0.0
holdout,0,7.63e-06,0.0
holdout,0,2.03e-06,0.0
holdout,0,1.85e-06,0.0
holdout,0,7.9e-07,0.0
holdout,0,1.3e-06,0.0
holdout,0,1.76e-06,0.0
holdout,0,9.16e-06,0.0
holdout,0,1.25e-06,0.0
holdout,0,7.6e-07,0.0
holdout,0,1.4e-06,0.0
holdout,0,2.47e-06,0.0
holdout,0,8.82e-06,0.0
holdout,0,2.39e-06,0.0
holdout,0,2.78e-06,0.0
holdout,0,1.13e-06,0.0
holdout,0,6.8e-07,0.0
holdout,0,7.27e-06,0.0
holdout,0,1.55e-06,0.0
holdout,0,3.197e-05,0.0
holdout,0,2.37e-06,0.0
holdout,0,6.25e-06,0.0
holdout,0,1.6e-06,0.0
holdout,0,1.552e-05,0.0
holdout,0,2.57e-06,0.0
holdout,0,1.04e-06,0.0
holdout,0,2.32e-06,0.0
holdout,0,1.526e-05,0.0
holdout,0,1.15e-06,0.0
holdout,0,8.23e-06,0.0
holdout,0,1.16e-06,0.0
holdout,0,4.49e-06,0.0
holdout,0,1.23e-06,0.0
holdout,0,8.9e-07,0.0
holdout,0,1.53e-06,0.0
holdout,0,1.88e-06,0.0
holdout,0,1.099e-05,0.0
holdout,0,3.4e-06,0.0
holdout,0,8.5e-07,0.0
holdout,0,1.31e-06,0.0
holdout,0,2.25e-06,0.0
holdout,0,1.61e-06,0.0
holdout,0,3.76e-06,0.0
holdout,0,7.3e-07,0.0
holdout,0,8.8e-07,0.0
holdout,0,1.2e-06,0.0
holdout,0,2.14e-06,0.0
holdout,0,1.22e-06,0.0
holdout,0,2.63e-06,0.0
holdout,0,5.22e-06,0.0
holdout,0,3.67e-06,0.0
holdout,0,1.17e-05,0.0
holdout,0,3.26e-06,0.0
holdout,0,3.09e-06,0.0
holdout,0,6.13e-06,0.0
holdout,0,3.41e-06,0.0
holdout,0,3.48e-06,0.0
holdout,0,9.2e-07,0.0
holdout,0,1.75e-06,0.0
holdout,0,2.53e-06,0.0
holdout,0,2.285e-05,0.0
holdout,0,9.62e-06,0.0
holdout,0,6.85e-06,0.0
holdout,0,6.9e-07,0.0
holdout,0,8.18e-06,0.0
holdout,0,6.4e-07,0.0
holdout,0,1.09e-06,0.0
holdout,0,4.14e-06,0.0
holdout,0,3.49e-06,0.0
holdout,0,2.02e-06,0.0
holdout,0,5.48e-06,0.0
holdout,0,4.3e-07,0.0
holdout,0,1.35e-06,0.0
holdout,0,6.9e-07,0.0
holdout,0,1.73e-06,0.0
holdout,0,2.55e-06,0.0
holdout,0,6.05e-06,0.0
holdout,0,5.97e-06,0.0
holdout,0,1.56e-06,0.0
holdout,0,2.89e-06,0.0
holdout,0,4e-07,0.0
holdout,0,1.1e-06,0.0
holdout,0,1.38e-06,0.0
holdout,0,2.5e-06,0.0
holdout,0,7.647e-05,0.0
holdout,0,3.46e-06,0.0
holdout,0,4.84e-06,0.0
holdout,0,1.89e-06,0.0
holdout,0,2.74e-06,0.0
holdout,0,1.96e-06,0.0
holdout,0,4.4e-06,0.0
holdout,0,1.71e-06,0.0
holdout,0,4.03e-06,0.0
holdout,0,5.202e-05,0.00103842
holdout,0,4.8e-07,0.0
holdout,0,1.07e-06,0.0
holdout,0,4.3e-07,0.0
holdout,0,2.91e-06,0.0
holdout,0,1.172e-05,0.0
holdout,0,1.197e-05,0.0
holdout,0,7.4e-07,0.0
holdout,0,0.00021844,0.00410936
holdout,0,1.385e-05,0.0
holdout,0,9.95e-06,0.0
holdout,0,1.16e-06,0.0
holdout,0,8.7e-07,0.0
holdout,0,1.89e-06,0.0
holdout,0,3.74e-06,0.0
holdout,0,2.63e-06,0.0
holdout,0,1.69e-06,0.0
holdout,0,4.28e-06,0.0
