feature,importance_gain,importance_gain_pct,importance_split,is_leakage_fixed,is_graph_feature,feature_group,avg_fold_gain,rank
vl_pix,11346457.801756978,76.9901,2659,False,False,core,7114697.803353919,1
qt_intervalo_transacao_minuto,1416859.5153406803,9.6139,1172,False,False,core,584359.0721014341,2
graph_sender_avg_value,645514.0284953159,4.3801,343,False,True,graph,8818.836577100306,3
minutes_since_prev_tx,164747.0225934078,1.1179,919,False,False,core,22139.867330686327,4
vl_latencia_rede_media_trimestre,143043.43847142352,0.9706,1847,False,False,core,92102.45200630698,5
diff_intervalo_vs_mediana,110358.6672725912,0.7488,695,True,False,leakage_fixed,59142.93797129695,6
qt_aparelhos_distintos_trimestre,107722.9759984361,0.7309,589,False,False,core,69346.93421560782,7
rule_score_raw,103415.83996864012,0.7017,1430,False,False,core,47855.66495500943,8
ratio_latencia_cliente,91049.09062228526,0.6178,1693,False,False,core,33297.16414665154,9
nr_idade,82868.55755415652,0.5623,2707,False,False,core,98137.7053500707,10
hour,62686.022290848196,0.4253,1897,False,False,core,27014.925494032028,11
topaz_risk_score,51407.64739252138,0.3488,340,False,False,core,17545.434729789104,12
rule_topaz_score,45876.66867920011,0.3113,79,False,False,core,156968.4207388237,13
diff_latencia_cliente,42370.79305197803,0.2875,1538,False,False,core,20847.67092131872,14
qt_tempo_relacionamento_mes,41619.58554232423,0.2824,1628,False,False,core,37589.342532217786,15
vl_mediana_pix_trimestre,33881.57020552992,0.2299,540,True,False,leakage_fixed,208033.31576875978,16
qt_envio_recebedor_trimestre,32240.293533976655,0.2188,200,False,False,core,10022.508850024478,17
ratio_pix_renda,25562.30777815939,0.1735,717,False,False,extra,57485.768481210325,18
vl_desvio_padrao_pix_trimestre,24187.609219439328,0.1641,110,True,False,leakage_fixed,4004.7793249231095,19
qt_total_pix_trimestre,18472.0922264643,0.1253,70,True,False,leakage_fixed,2111.7525170350914,20
graph_receiver_in_degree,17674.899274574593,0.1199,350,False,True,graph,5483.686969162266,21
key_tx_count_prev,17246.77812540531,0.117,81,False,False,core,59483.337005537745,22
graph_receiver_avg_value,13801.895100479593,0.0937,803,False,True,graph,6023.969325772492,23
tp_primeiro_envio_recebedor_trimestre,11194.22087341547,0.076,182,False,False,core,3778.5309399530292,24
receiver_tx_count_prev,11039.936403311789,0.0749,229,False,False,core,6195.622258739173,25
graph_receiver_value_ratio,8394.41339913162,0.057,457,False,True,graph,2279.222717014802,26
vl_renda_cliente,7793.588802831247,0.0529,491,False,False,extra,11429.160813731596,27
rule_relationship_score,7095.2308056547845,0.0481,62,False,False,core,39036.83487784713,28
graph_sender_value_ratio,5911.171454123597,0.0401,198,False,True,graph,5034.053141237795,29
host_time_missing_flag,4462.090079069138,0.0303,78,False,False,core,768.3077780894935,30
graph_degree_ratio,3929.9452248960733,0.0267,130,False,True,graph,3552.083642362058,31
ratio_intervalo_vs_mediana,3669.7467355430126,0.0249,380,True,False,leakage_fixed,4298.702515500458,32
pix_key_random_flag,3534.7718729842454,0.024,294,False,False,core,1144.6239052721126,33
ratio_valor_mediana,3527.504034839105,0.0239,142,True,False,leakage_fixed,2582.686935309018,34
vl_pix_over_1000_flag,2948.650517370552,0.02,122,False,False,core,2736.277496069204,35
device_missing_flag,2836.6896525621414,0.0192,58,False,False,core,1819.9261674225331,36
qt_intervalo_desvio_padrao_trimestre,2455.68495009467,0.0167,28,True,False,leakage_fixed,138.5128781914711,37
qt_intervalo_mediana_trimestre,2393.747116426239,0.0162,292,True,False,leakage_fixed,1508.5506416399032,38
qt_pix_dia_maximo_trimestre,2245.9794172793627,0.0152,168,True,False,leakage_fixed,6445.678054441511,39
zscore_valor_aprox,1899.9176959579927,0.0129,25,True,False,leakage_fixed,163.8811109662056,40
rule_random_key_score,1735.043358962983,0.0118,198,False,False,core,620.567603732337,41
topaz_missing_flag,1720.497242629528,0.0117,203,False,False,core,161.455605751276,42
graph_receiver_tx_count,1592.9273466051488,0.0108,203,False,True,graph,665.7425007487648,43
graph_pair_tx_count,1490.6335404515266,0.0101,21,False,True,graph,466.3425290346146,44
is_segmento_premium_flag,1149.818121585995,0.0078,53,False,False,extra,735.1854384611361,45
first_receiver_flag,1076.559966981411,0.0073,61,False,False,core,421.5549507036805,46
graph_sender_tx_count,980.7912894375622,0.0067,18,False,True,graph,200.21717975735663,47
rule_age_score,940.8683899790049,0.0064,91,False,False,core,781.6825514294208,48
pix_over_50pct_renda_flag,649.5717758536339,0.0044,20,False,False,extra,1812.1457581557333,49
first_key_flag,282.45258571207523,0.0019,4,False,False,core,1316.338196079433,50
graph_sender_out_degree,258.47092616558075,0.0018,7,False,True,graph,8.785559844970702,51
ratio_valor_desvio_padrao,236.35205359490647,0.0016,116,True,False,leakage_fixed,1092.3720034621394,52
diff_valor_mediana,195.18201654404402,0.0013,58,True,False,leakage_fixed,38732.21731764597,53
tx_count_prev_30m,168.74464565515518,0.0011,18,False,False,core,1795.0643939331173,54
renda_missing_flag,138.8308801651001,0.0009,11,False,False,extra,107.03281382322311,55
graph_is_new_edge,130.70223051309586,0.0009,7,False,True,graph,6.302020667493343,56
graph_receiver_concentration_hhi,124.81059981533326,0.0008,58,False,True,graph,62.772908329963684,57
is_viuvo_flag,76.69891667366028,0.0005,26,False,False,extra,330.47986477576194,58
zscore_intervalo_aprox,75.6464875638485,0.0005,32,True,False,leakage_fixed,11.866704149218275,59
graph_sender_value_zscore,48.91234846692532,0.0003,20,False,True,graph,65.91663662195205,60
distinct_receivers_so_far,38.535527765750885,0.0003,26,False,False,core,0.29940526001155376,61
is_first_tx_trimestre,24.627649784088135,0.0002,3,True,False,leakage_fixed,6.150331926345825,62
distinct_keys_so_far,17.12512156367302,0.0001,5,False,False,core,77.168510868866,63
burst_30m_flag,0.2759070098400116,0.0,1,False,False,core,24.480345016717912,64
perfil_vulneravel_se_flag,0.0,0.0,0,False,False,extra,14.39753911793232,65
