split,is_fraud,score_raw,score_calibrated
holdout,0,1.31e-05,0.0
holdout,0,1.07e-06,0.0
holdout,0,8.8e-07,0.0
holdout,0,1.278e-05,0.00086806
holdout,0,4.3e-07,0.0
holdout,0,0.00198292,0.00495922
holdout,0,3.9e-06,0.0
holdout,0,1.052e-05,0.0
holdout,0,8.1e-07,0.0
holdout,0,1.5e-06,0.0
holdout,0,1.032e-05,0.0
holdout,0,1.21e-06,0.0
holdout,0,4.23e-06,0.0
holdout,0,3.545e-05,0.0
holdout,0,0.00010241,0.0
holdout,0,3.48e-06,0.0
holdout,0,0.00020178,0.00117786
holdout,0,2.12e-06,0.0
holdout,0,4.52e-06,0.0
holdout,0,6.8e-06,0.0
holdout,0,4.3e-07,0.0
holdout,0,9.1e-07,0.0
holdout,0,8.2e-06,0.0
holdout,0,5.19e-06,0.0
holdout,0,3.04e-06,0.0
holdout,0,2.12e-06,0.0
holdout,0,1.31e-06,0.0
holdout,0,2.15e-05,0.0
holdout,0,2.26e-06,0.0
holdout,0,1.78e-06,0.0
holdout,0,2.61e-06,0.0
holdout,0,0.00077566,0.00086806
holdout,0,7.2e-07,0.0
holdout,0,7.4e-06,0.0
holdout,0,5.85e-06,0.0
holdout,0,6.74e-06,0.0
holdout,0,3.5e-07,0.0
holdout,0,1.74e-06,0.0
holdout,0,5e-07,0.0
holdout,0,9.81e-05,0.0
holdout,0,1.58e-06,0.0
holdout,0,6.74e-06,0.0
holdout,0,1.58e-06,0.0
holdout,0,1.34e-06,0.0
holdout,0,0.0004709,0.00266667
holdout,0,6.97e-06,0.0
holdout,0,5.27e-06,0.0
holdout,0,2.25e-06,0.0
holdout,0,9.1e-07,0.0
holdout,0,8.3e-07,0.0
holdout,0,5.6e-06,0.0
holdout,0,9.8e-07,0.0
holdout,0,4.67e-06,0.0
holdout,0,1.68e-06,0.0
holdout,0,7.1e-07,0.0
holdout,0,7.8e-07,0.0
holdout,0,3.14e-06,0.0
holdout,0,1.45e-06,0.0
holdout,0,2.973e-05,0.0
holdout,0,6.9e-07,0.0
holdout,0,1.3e-06,0.0
holdout,0,9.64e-06,0.0
holdout,0,1.41e-06,0.0
holdout,0,8.28e-06,0.0
holdout,0,3.18e-06,0.0
holdout,0,1.48e-06,0.0
holdout,0,3.08e-06,0.0
holdout,0,6.522e-05,0.0
holdout,0,0.00120049,0.00260236
holdout,0,2.098e-05,0.00353472
holdout,0,6.615e-05,0.0
holdout,0,3.2e-07,0.0
holdout,0,1.08e-06,0.0
holdout,0,1.034e-05,0.0
holdout,0,3.24e-06,0.0
holdout,0,6.1e-07,0.0
holdout,0,0.00010826,0.0
holdout,0,3.783e-05,0.0
holdout,0,0.02536599,0.03182743
holdout,0,1.13e-06,0.0
holdout,0,2.64e-06,0.0
holdout,0,3.19e-06,0.0
holdout,0,1.01e-06,0.0
holdout,0,1.92e-06,0.0
holdout,0,1.58e-06,0.0
holdout,0,6.7e-06,0.0
holdout,0,2.25e-06,0.0
holdout,0,5.2e-06,0.0
holdout,0,1.58e-06,0.0
holdout,0,6.88e-06,0.0
holdout,0,2.87e-06,0.0
holdout,0,9.1e-07,0.0
holdout,0,1.59e-06,0.0
holdout,0,2.42e-06,0.0
holdout,0,9.9e-07,0.0
holdout,0,1.8e-07,0.0
holdout,0,1.587e-05,0.00117786
holdout,0,9.53e-06,0.0
holdout,0,2.988e-05,0.0
holdout,0,4.61e-06,0.0
holdout,0,1.92e-06,0.0
holdout,0,8.683e-05,0.0
holdout,0,3.037e-05,0.0
holdout,0,8.84e-06,0.0
holdout,0,1.994e-05,0.00086806
holdout,0,1.061e-05,0.0
holdout,0,3.56e-06,0.0
holdout,0,3.96e-06,0.0
holdout,0,2.48e-06,0.0
holdout,0,3.05e-06,0.0
holdout,0,1.014e-05,0.0
holdout,0,1.091e-05,0.0
holdout,0,6.4e-07,0.0
holdout,0,2.49e-06,0.0
holdout,0,8.8e-07,0.0
holdout,0,7.6e-07,0.0
holdout,0,8.2e-07,0.0
holdout,0,2.01e-06,0.0
holdout,0,1.232e-05,0.00736426
holdout,0,6.26e-06,0.0
holdout,0,2.7e-07,0.0
holdout,0,4.55e-06,0.0
holdout,0,2.54e-06,0.0
holdout,0,4.99e-06,0.0
holdout,0,9e-07,0.0
holdout,0,2.1e-05,0.0
holdout,0,6.56e-06,0.0
holdout,0,1.47e-06,0.0
holdout,0,9e-07,0.0
holdout,0,2.03e-06,0.0
holdout,0,8.1e-07,0.0
holdout,0,1.39e-06,0.0
