idx,transaction_id,is_fraud,se_score,n_patterns,patterns,pattern_scores,n_active_indicators,ind_burst_intenso,ind_burst_30m,ind_multiplos_pix_rapidos,ind_primeira_tx_trimestre,ind_burst_conta_antiga,ind_valor_absoluto_alto,ind_valor_absoluto_muito_alto,ind_pix_acima_1000,ind_renda_desconhecida_valor_alto,ind_renda_metade_comprometida,ind_renda_incompativel,ind_idade_70_plus,ind_idade_60_plus,ind_idade_80_plus,ind_intervalo_muito_curto,ind_intervalo_curto,ind_conta_recem_aberta,ind_cliente_muito_novo,ind_valor_redondo,ind_multiplos_recebedores_distintos,ind_is_segmento_premium,ind_perfil_vulneravel_se,ind_chave_aleatoria,ind_aproximando_esgotamento,ind_recebedor_nunca_visto,ind_login_senha,ind_horario_comercial,ind_agendamento_recorrente,vl_pix,nr_idade,pix_key_random_flag,first_receiver_flag,burst_30m_flag,tx_count_prev_30m,qt_intervalo_transacao_minuto,qt_tempo_relacionamento_mes,qt_pix_dia_maximo_trimestre,qt_total_pix_trimestre,qt_envio_recebedor_trimestre,is_first_tx_trimestre,hour,is_segmento_premium_flag,pix_over_50pct_renda_flag,renda_missing_flag,is_viuvo_flag,perfil_vulneravel_se_flag,distinct_receivers_so_far,vl_mediana_pix_trimestre,ratio_valor_mediana
3586,E0000020820251222142601112201525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|9,9,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,6000.0,60,0,1,0,0,0.0,10,1,1,1,1,11,1,0,1,0,0,1,6000.0,1.0
5110,E0000020820251223104158333571525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|7,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5530.0,45,0,1,0,0,0.0,6,1,1,1,1,7,1,0,1,0,0,1,5530.0,1.0
5301,E0000020820251223123029704200542,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1500.0,46,1,1,0,0,0.0,54,1,1,1,1,9,0,0,1,0,0,1,1500.0,1.0
11327,E0000020820251227114315430954525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1600.0,45,0,1,0,0,0.0,10,1,1,1,1,8,1,0,1,0,0,1,1600.0,1.0
13897,E0000020820251229131651246527525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,9|7,8,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,114000.0,4,0,1,0,0,0.0,44,1,1,1,1,10,0,0,1,0,0,1,114000.0,1.0
15277,E0000020820251230110623316636525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|8,8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,9000.0,36,0,1,0,0,0.0,148,1,1,1,1,8,1,0,1,0,0,1,9000.0,1.0
17008,E0000020820251231101858111210525,0,95.0,3,IDOSO_VULNERAVEL_70|COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,7|6|8,8,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3000.0,76,0,1,0,0,0.0,9,1,1,1,1,7,1,0,1,0,0,1,3000.0,1.0
19543,E0000020820260102134434454380542,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3220.85,35,0,1,0,0,0.0,46,1,1,1,1,10,0,0,1,0,0,1,3220.85,1.0
24254,E0000020820260106104253757368525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1000.0,53,0,1,0,0,0.0,196,1,1,1,1,7,1,0,0,0,0,1,1000.0,1.0
29131,E0000020820260108194045299489525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|7,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6163.53,49,0,1,0,0,0.0,225,1,1,1,1,16,1,0,1,0,0,1,6163.53,1.0
31891,E0000020820260110112015996863525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|7,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1000.0,49,0,1,0,0,0.0,247,1,1,1,1,8,1,1,0,0,0,1,1000.0,1.0
32117,E0000020820260110133606094515525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2600.0,54,0,1,0,0,0.0,345,1,1,1,1,10,0,0,1,0,0,1,2600.0,1.0
36251,E0000020820260113140320250562525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1800.0,24,0,1,0,0,0.0,15,1,1,1,1,11,1,0,1,0,0,1,1800.0,1.0
40773,E0000020820260116153440784598525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1549.0,39,0,1,0,0,0.0,48,1,1,1,1,12,1,0,1,0,0,1,1549.0,1.0
44294,E0000020820260119133440195320525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1857.24,32,1,1,0,0,0.0,374,1,1,1,1,10,0,0,1,0,0,1,1857.24,1.0
54330,E0000020820260127180417244961525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2047.67,23,0,1,0,0,0.0,5,1,1,1,1,15,0,0,1,0,0,1,2047.67,1.0
57867,E0000020820260130111745288238525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1450.0,31,0,1,0,0,0.0,4,1,1,1,1,8,1,0,1,0,0,1,1450.0,1.0
59009,E0000020820260130210533596807525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1700.0,60,0,1,0,0,0.0,12,1,1,1,1,18,0,0,1,0,0,1,1700.0,1.0
60281,E0000020820260131175955852644525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1012.0,30,0,1,0,0,0.0,96,1,1,1,1,15,1,0,1,0,0,1,1012.0,1.0
62800,E0000020820260202182040884140525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|8,8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5000.0,30,0,1,0,0,0.0,16,1,1,1,1,15,1,0,1,0,0,1,5000.0,1.0
63493,E0000020820260203090131301774525,0,95.0,3,COACAO_FISICA|FALSO_FUNCIONARIO_BANCO|PRIMEIRA_TX_SUSPEITA,7|7|8,8,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,8386.95,37,1,1,0,0,0.0,183,1,1,1,1,6,1,1,0,0,0,1,8386.95,1.0
65618,E0000020820260204140054275222525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,9|8,9,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,11000.0,30,0,1,0,0,0.0,19,1,1,1,1,11,1,0,1,0,0,1,11000.0,1.0
71229,E0000020820260207132338057575525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|8,8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5000.0,44,0,1,0,0,0.0,55,1,1,1,1,10,1,0,1,0,0,1,5000.0,1.0
75661,E0000020820260210142147116323525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|7,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6213.88,33,0,1,0,0,0.0,6,1,1,1,1,11,1,0,1,0,0,1,6213.88,1.0
75827,E0000020820260210154600024773525,0,95.0,3,COACAO_FISICA|FALSO_FUNCIONARIO_BANCO|PRIMEIRA_TX_SUSPEITA,8|7|7,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5979.76,42,1,1,0,0,0.0,333,1,1,1,1,12,0,0,1,0,0,1,5979.76,1.0
82968,E0000020820260215155121996524525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|8,8,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5500.0,43,0,1,0,0,0.0,39,1,1,1,1,12,1,0,1,0,0,1,5500.0,1.0
85871,E0000020820260218145628448833525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1406.0,47,0,1,0,0,0.0,219,1,1,1,1,11,1,1,0,0,0,1,1406.0,1.0
87953,E0000020820260220090910247619525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1797.0,33,0,1,0,0,0.0,8,1,1,1,1,6,1,0,1,0,0,1,1797.0,1.0
94787,E0000020820260225205412441870525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|7,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1000.0,42,0,1,0,0,0.0,200,1,1,1,1,17,1,1,0,0,0,1,1000.0,1.0
95276,E0000020820260226115352040226525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,8|8,8,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5388.73,60,0,1,0,0,0.0,9,1,1,1,1,8,1,0,1,0,0,1,5388.73,1.0
96624,E0000020820260227103238927770525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|5,7,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2750.0,65,0,1,0,0,0.0,1,1,1,1,1,7,0,0,1,0,0,1,2750.0,1.0
97205,E0000020820260227155924395861525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,9|8,9,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,18000.0,11,0,1,0,0,0.0,103,1,1,1,1,12,1,0,1,0,0,1,18000.0,1.0
97476,E0000020820260227182111042111525,0,55.0,2,COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,6|6,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2650.0,34,1,1,0,0,0.0,12,1,1,1,1,15,1,0,1,0,0,1,2650.0,1.0
98643,E0000020820260228135637591547525,0,95.0,3,FALSO_FUNCIONARIO_BANCO|COACAO_FISICA|PRIMEIRA_TX_SUSPEITA,7|6|7,7,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1668.37,74,1,1,0,0,0.0,101,1,1,1,1,10,0,0,1,0,0,1,1668.37,1.0
