idx,transaction_id,is_fraud,se_score,n_patterns,patterns,pattern_scores,n_active_indicators,ind_burst_intenso,ind_burst_30m,ind_multiplos_pix_rapidos,ind_primeira_tx_trimestre,ind_burst_conta_antiga,ind_valor_absoluto_alto,ind_valor_absoluto_muito_alto,ind_pix_acima_1000,ind_renda_desconhecida_valor_alto,ind_renda_metade_comprometida,ind_renda_incompativel,ind_idade_70_plus,ind_idade_60_plus,ind_idade_80_plus,ind_intervalo_muito_curto,ind_intervalo_curto,ind_conta_recem_aberta,ind_cliente_muito_novo,ind_valor_redondo,ind_multiplos_recebedores_distintos,ind_is_segmento_premium,ind_perfil_vulneravel_se,ind_chave_aleatoria,ind_aproximando_esgotamento,ind_recebedor_nunca_visto,ind_login_senha,ind_horario_comercial,ind_agendamento_recorrente,vl_pix,nr_idade,pix_key_random_flag,first_receiver_flag,burst_30m_flag,tx_count_prev_30m,qt_intervalo_transacao_minuto,qt_tempo_relacionamento_mes,qt_pix_dia_maximo_trimestre,qt_total_pix_trimestre,qt_envio_recebedor_trimestre,is_first_tx_trimestre,hour,is_segmento_premium_flag,pix_over_50pct_renda_flag,renda_missing_flag,is_viuvo_flag,perfil_vulneravel_se_flag,distinct_receivers_so_far,vl_mediana_pix_trimestre,ratio_valor_mediana
3794,E0000020820251222160500885269525,1,0.0,0,,,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3948.05,77,0,1,0,0,0.0,444,2,2,1,0,13,1,0,0,0,0,1,2992.13,1.3194780975425533
3922,E0000020820251222170031711916525,1,0.0,0,,,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,997.22,79,0,1,0,0,0.0,439,5,10,1,0,14,1,0,0,0,0,1,997.26,0.999959890098871
3933,E0000020820251222170330157420525,1,0.0,0,,,7,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,997.23,79,0,0,1,1,2.4333,439,5,10,2,0,14,1,0,0,0,0,1,997.26,0.9999699175741532
3937,E0000020820251222170548049913525,1,0.0,0,,,7,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,997.24,79,0,0,1,2,2.6167,439,5,10,3,0,14,1,0,0,0,0,1,997.26,0.9999799450494354
7550,E0000020820251224131647193323525,1,0.0,0,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,189.9,50,0,1,0,0,0.0,9,1,3,1,0,10,1,0,1,0,0,1,189.9,1.0
9068,E0000020820251225103059719280525,1,0.0,0,,,7,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48999.22,79,0,1,0,0,3920.8,439,5,10,1,0,7,1,1,0,0,0,2,997.26,49.13384674006779
9073,E0000020820251225104103123663525,1,0.0,0,,,6,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,999.88,79,0,0,1,1,10.05,439,5,10,2,0,7,1,0,0,0,0,2,997.26,1.0026271985239557
9819,E0000020820251226102750969586525,1,0.0,0,,,6,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6099.22,79,0,0,0,0,1426.8,439,5,10,3,0,7,1,1,0,0,0,2,997.26,6.115977779114775
9901,E0000020820251226121559832431525,1,0.0,0,,,7,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32999.22,79,0,0,0,0,108.15,439,5,10,4,0,9,1,1,0,0,0,2,997.26,33.0898862884303
11319,E0000020820251227113800540407525,1,0.0,0,,,5,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2999.99,79,0,0,0,0,1402.0167,439,5,10,5,0,8,1,1,0,0,0,2,997.26,3.008232557206746
11782,E0000020820251227163152368640525,1,0.0,0,,,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,14999.0,37,0,1,0,0,0.0,156,2,3,1,0,13,1,1,0,0,0,1,8709.0,1.7222413595131474
