feature,split_pct,gain_pct,rank_avg,perm_importance_mean,perm_rank,mean_abs_corr,mutual_info,mi_rank,levene_p,effect_size_r,mw_rank,is_near_zero_var,freq_ratio,vif,norm_split,norm_gain,norm_perm,norm_mi,norm_mw,composite_score,composite_rank,recomendacao,campo_bruto,sistema_fonte
vl_mediana_pix_trimestre,15.097000,87.014000,1.000000,0.002482,1,0.158122,0.013263,2,0.000000,0.100900,1,False,1.090000,999.000000,1.000000,1.000000,1.000000,0.975373,1.000000,0.995100,1,MANTER,vl_mediana_pix_trimestre,BLK (Extrato PIX)
qt_intervalo_desvio_padrao_trimestre,8.688000,2.781000,4.500000,0.002062,2,0.146795,0.013598,1,0.001983,0.086800,6,False,24.800000,2.310000,0.575479,0.031960,0.831051,1.000000,0.860258,0.671100,2,MANTER,qt_intervalo_desvio_padrao_trimestre,BLK (Extrato PIX)
qt_total_pix_trimestre,7.484000,3.340000,4.500000,0.001220,4,0.168742,0.012815,3,0.000005,0.100400,2,False,1.060000,5.620000,0.495728,0.038385,0.491678,0.942405,0.995045,0.567300,3,MANTER,qt_total_pix_trimestre,BLK (Extrato PIX)
vl_pix,8.860000,0.793000,4.500000,0.001560,3,0.166022,0.008931,6,0.000000,0.096400,3,False,1.230000,999.000000,0.586872,0.009113,0.628560,0.656797,0.955401,0.553100,4,MANTER,vl_pix,BLK (Extrato PIX)
qt_intervalo_mediana_trimestre,13.290000,0.471000,4.500000,0.000378,5,0.167522,0.011468,4,0.413913,0.089200,5,False,9.710000,999.000000,0.880307,0.005413,0.152319,0.843363,0.884044,0.480100,5,MANTER,qt_intervalo_mediana_trimestre,BLK (Extrato PIX)
log_vl_pix,2.753000,0.097000,10.000000,0.000345,6,0.166022,0.009105,5,0.006443,0.096400,3,False,1.230000,15.180000,0.182354,0.001115,0.138925,0.669553,0.955401,0.346500,6,MANTER,vl_pix,BLK (Extrato PIX)
nr_idade,11.226000,0.115000,6.500000,0.000165,7,0.129994,0.002665,33,0.726549,0.059500,10,False,1.010000,20.970000,0.743591,0.001322,0.066390,0.195985,0.589693,0.259400,7,MANTER,nr_idade,AOX (Cadastro)
qt_intervalo_transacao_minuto,1.720000,0.013000,17.000000,0.000069,15,0.114210,0.005514,17,0.293770,0.078500,7,False,39.470000,999.000000,0.113930,0.000149,0.027853,0.405479,0.777998,0.223300,8,MANTER,qt_intervalo_transacao_minuto,BLK (Extrato PIX)
qt_pix_dia_maximo_trimestre,3.570000,4.014000,5.000000,0.000151,10,0.165972,0.004047,26,0.030956,0.063500,9,False,1.010000,4.890000,0.236471,0.046131,0.060885,0.297638,0.629336,0.216900,9,MANTER,qt_pix_dia_maximo_trimestre,BLK (Extrato PIX)
ratio_valor_desvio_padrao,1.118000,0.018000,18.000000,0.000156,9,0.104417,0.007086,9,0.000000,0.052300,11,False,19.250000,1.130000,0.074054,0.000207,0.062843,0.521097,0.518335,0.212000,10,MANTER,vl_pix,BLK (Extrato PIX)
minutes_since_prev_tx,2.280000,0.007000,17.000000,0.000083,13,0.036903,0.007429,8,0.000000,0.043600,14,False,7845.000000,5.190000,0.151023,0.000080,0.033429,0.546291,0.432111,0.206800,11,MANTER,dt_pix,BLK (Extrato PIX)
vl_pix_over_1000_flag,0.043000,0.000000,37.000000,-0.000000,80,0.085922,0.005561,16,0.000000,0.071200,8,False,16.540000,,0.002848,0.000000,0.000000,0.408948,0.705649,0.188100,12,MANTER_BAIXA,vl_pix,BLK (Extrato PIX)
qt_tempo_relacionamento_mes,7.398000,0.050000,10.000000,0.000077,14,0.158509,0.001290,52,0.089276,0.049100,13,False,1.060000,8.980000,0.490031,0.000575,0.031060,0.094874,0.486620,0.174900,13,MANTER_BAIXA,qt_tempo_relacionamento_mes,AOX (Cadastro)
diff_intervalo_vs_mediana,1.720000,0.011000,17.500000,0.000159,8,0.076853,0.007854,7,0.166888,0.003300,67,False,116.500000,999.000000,0.113930,0.000126,0.064205,0.577590,0.032706,0.156800,14,MANTER_BAIXA,qt_intervalo_transacao_minuto,BLK (Extrato PIX)
tx_count_prev_30m,0.000000,0.000000,61.000000,0.000000,59,0.075392,0.006573,11,0.000000,0.039000,22,True,465.300000,,0.000000,0.000000,0.000014,0.483371,0.386521,0.154700,15,REMOVER,dt_pix,BLK (Extrato PIX)
vl_desvio_padrao_pix_trimestre,0.043000,0.339000,22.000000,0.000008,23,0.150641,0.006827,10,0.000117,0.034900,31,False,7.780000,1.300000,0.002848,0.003896,0.003164,0.502038,0.345887,0.154400,16,MANTER_BAIXA,vl_desvio_padrao_pix_trimestre,BLK (Extrato PIX)
rule_velocity_score,0.000000,0.000000,61.000000,0.000000,59,0.075392,0.006325,12,0.000000,0.039000,22,True,465.300000,,0.000000,0.000000,0.000014,0.465131,0.386521,0.151000,17,REMOVER,dt_pix,BLK (Extrato PIX)
burst_30m_flag,0.043000,0.000000,38.000000,0.000001,28,0.075364,0.005891,15,0.000000,0.038900,24,True,317.590000,,0.002848,0.000000,0.000610,0.433237,0.385530,0.145100,18,MANTER_BAIXA,dt_pix,BLK (Extrato PIX)
ratio_pix_renda,0.989000,0.006000,22.000000,0.000020,19,0.072857,0.003942,27,0.004355,0.049800,12,False,268.810000,1.060000,0.065510,0.000069,0.007988,0.289901,0.493558,0.144300,19,MANTER_BAIXA,vl_pix,BLK (Extrato PIX)
rule_mule_account_score,0.000000,0.000000,61.000000,0.000000,59,0.107910,0.005022,19,0.000000,0.039600,20,True,43.100000,,0.000000,0.000000,0.000014,0.369277,0.392468,0.132700,20,REMOVER,nr_idade,AOX (Cadastro)
first_key_flag,0.000000,0.000000,61.000000,0.000000,59,0.100378,0.004769,20,0.000000,0.038700,25,True,50.330000,,0.000000,0.000000,0.000014,0.350671,0.383548,0.127700,21,REMOVER,ds_chave_pix,BLK (Extrato PIX)
first_receiver_flag,0.000000,0.000000,61.000000,0.000000,59,0.107951,0.004650,21,0.000000,0.039800,19,True,42.630000,,0.000000,0.000000,0.000014,0.341936,0.394450,0.127600,22,REMOVER,cd_cpf_cnpj_recebedor,BLK (Extrato PIX)
receiver_tx_count_prev,0.301000,0.090000,18.500000,0.000001,30,0.108041,0.004106,25,0.000000,0.040400,18,True,50.810000,,0.019938,0.001034,0.000298,0.301984,0.400396,0.123700,23,MANTER_BAIXA,cd_cpf_cnpj_recebedor,BLK (Extrato PIX)
ratio_latencia_cliente,0.086000,0.001000,30.500000,0.000000,37,0.067307,0.005134,18,0.649304,0.028000,37,False,100.440000,14.710000,0.005696,0.000011,0.000014,0.377547,0.277502,0.118000,24,MANTER_BAIXA,latencia_rede_ms,MBK (Mobile Banking)
vl_latencia_rede_media_trimestre,2.237000,0.585000,9.000000,0.000014,20,0.104211,0.002212,36,0.164682,0.039400,21,False,1015.000000,157.660000,0.148175,0.006723,0.005661,0.162667,0.390486,0.116400,25,MANTER_BAIXA,vl_latencia_rede_media_trimestre,MBK (Mobile Banking)
is_first_tx_trimestre,0.172000,0.116000,18.500000,0.000000,59,0.036315,0.004560,22,0.000000,0.031600,33,True,294.160000,,0.011393,0.001333,0.000014,0.335356,0.313181,0.116000,26,REMOVER,qt_total_pix_trimestre,BLK (Extrato PIX)
diff_latencia_cliente,0.043000,0.001000,34.000000,0.000000,35,0.059277,0.004385,24,0.633440,0.031300,34,False,100.440000,527.370000,0.002848,0.000011,0.000014,0.322449,0.310208,0.111500,27,MANTER_BAIXA,latencia_rede_ms,MBK (Mobile Banking)
ratio_intervalo_vs_mediana,0.000000,0.000000,61.000000,0.000000,59,0.081419,0.006110,13,0.889307,0.012500,55,False,1.120000,1.040000,0.000000,0.000000,0.000014,0.449352,0.123885,0.108500,28,MANTER_BAIXA,qt_intervalo_transacao_minuto,BLK (Extrato PIX)
key_tx_count_prev,0.043000,0.000000,36.000000,0.000000,59,0.100002,0.003870,28,0.000000,0.033400,32,True,62.960000,,0.002848,0.000000,0.000014,0.284614,0.331021,0.107000,29,REMOVER,ds_chave_pix,BLK (Extrato PIX)
rule_score_raw,1.978000,0.018000,15.000000,0.000013,21,0.134421,0.001412,49,0.048545,0.042700,16,False,1.170000,428.450000,0.131019,0.000207,0.005434,0.103839,0.423191,0.105600,30,MANTER_BAIXA,DERIVADA_MULTIPLA,DERIVADA
qt_aparelhos_distintos_trimestre,0.688000,0.029000,17.000000,0.000125,11,0.141290,0.003071,31,0.000000,0.021800,42,False,1.290000,5.620000,0.045572,0.000333,0.050513,0.225813,0.216056,0.099600,31,AVALIAR,qt_aparelhos_distintos_trimestre,MBK (Mobile Banking)
