feature_1,feature_2,correlation,abs_corr
vl_pix,log_vl_pix,1.0,1.0
topaz_risk_score,topaz_score_filled,1.0,1.0
receiver_tx_count_prev,first_receiver_flag,-1.0,1.0
tx_count_prev_30m,burst_30m_flag,1.0,1.0
host_time_missing_flag,latencia_missing_flag,1.0,1.0
rule_score_raw,rule_score_normalized,1.0,1.0
burst_30m_flag,rule_velocity_score,1.0,1.0
first_receiver_flag,rule_mule_account_score,1.0,1.0
receiver_tx_count_prev,rule_mule_account_score,-1.0,1.0
tx_count_prev_30m,rule_velocity_score,1.0,1.0
device_missing_flag,app_version_missing_flag,1.0,1.0
app_version_missing_flag,host_time_missing_flag,0.9984,0.9984
app_version_missing_flag,latencia_missing_flag,0.9984,0.9984
device_missing_flag,host_time_missing_flag,0.9984,0.9984
device_missing_flag,latencia_missing_flag,0.9984,0.9984
topaz_risk_score,rule_topaz_score,0.9947,0.9947
topaz_score_filled,rule_topaz_score,0.9947,0.9947
distinct_receivers_so_far,distinct_keys_so_far,0.9878,0.9878
vl_renda_cliente,renda_missing_flag,-0.981,0.981
latencia_rede_ms_final,tempo_processamento_host_ms,0.9789,0.9789
app_version_missing_flag,topaz_missing_flag,0.9789,0.9789
device_missing_flag,topaz_missing_flag,0.9789,0.9789
topaz_missing_flag,latencia_missing_flag,0.9773,0.9773
topaz_missing_flag,host_time_missing_flag,0.9773,0.9773
pix_over_50pct_renda_flag,pix_over_100pct_renda_flag,0.9761,0.9761
key_tx_count_prev,first_key_flag,-0.9642,0.9642
pix_key_random_flag,rule_random_key_score,0.963,0.963
diff_intervalo_vs_mediana,zscore_intervalo_aprox,0.9547,0.9547
ratio_valor_mediana,diff_valor_mediana,0.9491,0.9491
ratio_latencia_cliente,diff_latencia_cliente,0.9484,0.9484
ratio_valor_mediana,zscore_valor_aprox,0.9425,0.9425
qt_tempo_relacionamento_mes,rule_relationship_score,-0.9363,0.9363
tp_primeiro_envio_recebedor_trimestre,qt_envio_recebedor_trimestre,-0.9337,0.9337
diff_valor_mediana,zscore_valor_aprox,0.9211,0.9211
ratio_intervalo_vs_mediana,zscore_intervalo_aprox,0.9094,0.9094
ratio_intervalo_vs_mediana,diff_intervalo_vs_mediana,0.9005,0.9005
