pattern,severity,min_score,tp,fp,fn,tn,precision,recall,f1,f2,fpr,total_ativacoes,is_current
ESVAZIAMENTO_CONTA,CRITICO,3,107,107,248,99893,0.5,0.301408,0.376098,0.327417,0.00107,214,False
ESVAZIAMENTO_CONTA,CRITICO,4,90,43,265,99957,0.676692,0.253521,0.368852,0.289762,0.00043,133,True
ESVAZIAMENTO_CONTA,CRITICO,5,52,21,303,99979,0.712329,0.146479,0.242991,0.174146,0.00021,73,False
ESVAZIAMENTO_CONTA,CRITICO,6,18,8,337,99992,0.692308,0.050704,0.094488,0.062241,8e-05,26,False
ESVAZIAMENTO_CONTA,CRITICO,7,4,2,351,99998,0.666667,0.011268,0.022161,0.014025,2e-05,6,False
ESVAZIAMENTO_CONTA,CRITICO,8,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,9,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,10,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,11,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,12,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,13,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,14,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
ESVAZIAMENTO_CONTA,CRITICO,15,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
COACAO_FISICA,CRITICO,3,199,1210,156,98790,0.141235,0.560563,0.225624,0.351714,0.0121,1409,False
COACAO_FISICA,CRITICO,4,199,1210,156,98790,0.141235,0.560563,0.225624,0.351714,0.0121,1409,False
COACAO_FISICA,CRITICO,5,122,303,233,99697,0.287059,0.343662,0.312821,0.330623,0.00303,425,True
COACAO_FISICA,CRITICO,6,98,222,257,99778,0.30625,0.276056,0.29037,0.281609,0.00222,320,False
COACAO_FISICA,CRITICO,7,46,117,309,99883,0.282209,0.129577,0.177606,0.145294,0.00117,163,False
COACAO_FISICA,CRITICO,8,17,16,338,99984,0.515152,0.047887,0.087629,0.0585,0.00016,33,False
COACAO_FISICA,CRITICO,9,8,1,347,99999,0.888889,0.022535,0.043956,0.027992,1e-05,9,False
COACAO_FISICA,CRITICO,10,3,0,352,100000,1.0,0.008451,0.01676,0.010541,0.0,3,False
COACAO_FISICA,CRITICO,11,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
COACAO_FISICA,CRITICO,12,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
COACAO_FISICA,CRITICO,13,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
COACAO_FISICA,CRITICO,14,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
COACAO_FISICA,CRITICO,15,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,3,16,26,339,99974,0.380952,0.04507,0.080605,0.05472,0.00026,42,True
BURST_ESVAZIAMENTO_CONTA,CRITICO,4,16,26,339,99974,0.380952,0.04507,0.080605,0.05472,0.00026,42,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,5,10,25,345,99975,0.285714,0.028169,0.051282,0.034364,0.00025,35,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,6,5,19,350,99981,0.208333,0.014085,0.026385,0.017313,0.00019,24,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,7,2,8,353,99992,0.2,0.005634,0.010959,0.006993,8e-05,10,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,8,0,2,355,99998,0.0,0.0,0.0,0.0,2e-05,2,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,9,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,10,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,11,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,12,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,13,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,14,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
BURST_ESVAZIAMENTO_CONTA,CRITICO,15,0,0,355,100000,0.0,0.0,0.0,0.0,0.0,0,False
FALSO_FUNCIONARIO_BANCO,CRITICO,3,107,969,248,99031,0.099442,0.301408,0.149546,0.214343,0.00969,1076,False
FALSO_FUNCIONARIO_BANCO,CRITICO,4,107,969,248,99031,0.099442,0.301408,0.149546,0.214343,0.00969,1076,False
FALSO_FUNCIONARIO_BANCO,CRITICO,5,107,836,248,99164,0.113468,0.301408,0.164869,0.226407,0.00836,943,False
FALSO_FUNCIONARIO_BANCO,CRITICO,6,99,409,256,99591,0.194882,0.278873,0.229432,0.256743,0.00409,508,False
FALSO_FUNCIONARIO_BANCO,CRITICO,7,83,164,272,99836,0.336032,0.233803,0.275748,0.24895,0.00164,247,True
FALSO_FUNCIONARIO_BANCO,CRITICO,8,63,49,292,99951,0.5625,0.177465,0.269807,0.205614,0.00049,112,False
FALSO_FUNCIONARIO_BANCO,CRITICO,9,48,11,307,99989,0.813559,0.135211,0.231884,0.162272,0.00011,59,False
FALSO_FUNCIONARIO_BANCO,CRITICO,10,18,1,337,99999,0.947368,0.050704,0.096257,0.062543,1e-05,19,False
