indicator,total_ativacoes,em_fraudes,em_normais,rate_fraude,rate_normal,lift,information_gain
burst_intenso,48,48,0,0.1352,0.0,135211267.61,0.003944
burst_30m,314,145,169,0.4085,0.00169,241.69,0.009153
multiplos_pix_rapidos,287,118,169,0.3324,0.00169,196.68,0.007105
primeira_tx_trimestre,313,107,206,0.3014,0.00206,146.31,0.006058
burst_conta_antiga,153,22,131,0.062,0.00131,47.31,0.000896
valor_absoluto_alto,1031,112,919,0.3155,0.00919,34.33,0.004312
valor_absoluto_muito_alto,465,44,421,0.1239,0.00421,29.44,0.001537
aproximando_esgotamento,23,2,21,0.0056,0.00021,26.83,6.6e-05
renda_desconhecida_valor_alto,718,55,663,0.1549,0.00663,23.37,0.001765
pix_acima_1000,5615,275,5340,0.7746,0.0534,14.51,0.008832
idade_70_plus,4089,119,3970,0.3352,0.0397,8.44,0.002381
intervalo_muito_curto,11017,254,10763,0.7155,0.10763,6.65,0.005223
renda_metade_comprometida,8189,131,8058,0.369,0.08058,4.58,0.001643
idade_80_plus,1080,17,1063,0.0479,0.01063,4.5,0.00018
idade_60_plus,13832,187,13645,0.5268,0.13645,3.86,0.002167
intervalo_curto,23942,319,23623,0.8986,0.23623,3.8,0.00506
conta_recem_aberta,233,3,230,0.0085,0.0023,3.67,2.5e-05
valor_redondo,12064,126,11938,0.3549,0.11938,2.97,0.000944
cliente_muito_novo,935,8,927,0.0225,0.00927,2.43,3.5e-05
multiplos_recebedores_distintos,5472,34,5438,0.0958,0.05438,1.76,7e-05
is_segmento_premium,50152,282,49870,0.7944,0.4987,1.59,0.000949
perfil_vulneravel_se,1678,9,1669,0.0254,0.01669,1.52,1e-05
chave_aleatoria,42805,137,42668,0.3859,0.42668,0.9,1.7e-05
