threshold,TP,FP,FN,TN,Precision,Recall,F1,FPR
40,351,31,4,5614,0.918848,0.988732,0.95251,0.00549159
41,351,31,4,5614,0.918848,0.988732,0.95251,0.00549159
42,350,30,5,5615,0.921053,0.985915,0.952381,0.00531444
43,350,30,5,5615,0.921053,0.985915,0.952381,0.00531444
44,350,29,5,5616,0.923483,0.985915,0.953678,0.00513729
45,349,28,6,5617,0.925729,0.983099,0.953552,0.00496014
46,349,28,6,5617,0.925729,0.983099,0.953552,0.00496014
47,348,28,7,5617,0.925532,0.980282,0.95212,0.00496014
48,348,27,7,5618,0.928,0.980282,0.953425,0.00478299
49,348,26,7,5619,0.930481,0.980282,0.954733,0.00460585
50,348,26,7,5619,0.930481,0.980282,0.954733,0.00460585
51,348,26,7,5619,0.930481,0.980282,0.954733,0.00460585
52,348,26,7,5619,0.930481,0.980282,0.954733,0.00460585
53,348,26,7,5619,0.930481,0.980282,0.954733,0.00460585
54,347,23,8,5622,0.937838,0.977465,0.957241,0.0040744
55,347,23,8,5622,0.937838,0.977465,0.957241,0.0040744
56,347,23,8,5622,0.937838,0.977465,0.957241,0.0040744
57,347,22,8,5623,0.940379,0.977465,0.958564,0.00389725
58,347,22,8,5623,0.940379,0.977465,0.958564,0.00389725
59,347,22,8,5623,0.940379,0.977465,0.958564,0.00389725
60,347,21,8,5624,0.942935,0.977465,0.959889,0.00372011
61,346,21,9,5624,0.942779,0.974648,0.958449,0.00372011
62,346,17,9,5628,0.953168,0.974648,0.963788,0.00301151
63,346,17,9,5628,0.953168,0.974648,0.963788,0.00301151
64,346,17,9,5628,0.953168,0.974648,0.963788,0.00301151
65,346,17,9,5628,0.953168,0.974648,0.963788,0.00301151
66,343,17,12,5628,0.952778,0.966197,0.959441,0.00301151
67,342,16,13,5629,0.955307,0.96338,0.959327,0.00283437
68,342,16,13,5629,0.955307,0.96338,0.959327,0.00283437
69,338,13,17,5632,0.962963,0.952113,0.957507,0.00230292
70,338,12,17,5633,0.965714,0.952113,0.958865,0.00212578
71,336,12,19,5633,0.965517,0.946479,0.955903,0.00212578
72,335,11,20,5634,0.968208,0.943662,0.955777,0.00194863
73,334,10,21,5635,0.97093,0.940845,0.955651,0.00177148
74,333,10,22,5635,0.970845,0.938028,0.954155,0.00177148
75,332,9,23,5636,0.973607,0.935211,0.954023,0.00159433
76,332,8,23,5637,0.976471,0.935211,0.955396,0.00141718
77,332,8,23,5637,0.976471,0.935211,0.955396,0.00141718
78,329,8,26,5637,0.976261,0.926761,0.950867,0.00141718
79,328,8,27,5637,0.97619,0.923944,0.949349,0.00141718
80,328,8,27,5637,0.97619,0.923944,0.949349,0.00141718
81,325,8,30,5637,0.975976,0.915493,0.944767,0.00141718
82,325,8,30,5637,0.975976,0.915493,0.944767,0.00141718
83,325,8,30,5637,0.975976,0.915493,0.944767,0.00141718
84,321,8,34,5637,0.975684,0.904225,0.938596,0.00141718
85,321,8,34,5637,0.975684,0.904225,0.938596,0.00141718
86,320,7,35,5638,0.978593,0.901408,0.938416,0.00124004
87,320,7,35,5638,0.978593,0.901408,0.938416,0.00124004
88,320,7,35,5638,0.978593,0.901408,0.938416,0.00124004
89,319,7,36,5638,0.978528,0.898592,0.936858,0.00124004
90,314,7,41,5638,0.978193,0.884507,0.928994,0.00124004
