config_id,seed,label,TP,FP,FN,TN,Precision,Recall,F1,FPR
BASELINE,42,BASELINE,346,14,9,5631,0.961111,0.974648,0.967832,0.00248007
BASELINE,123,BASELINE,346,12,9,5633,0.96648,0.974648,0.970547,0.00212578
CAND_020_MAIN,42,CAND_020_MAIN,346,25,9,5620,0.932615,0.974648,0.953168,0.0044287
CAND_020_MAIN,123,CAND_020_MAIN,346,19,9,5626,0.947945,0.974648,0.961111,0.00336581
CAND_015_BALANCED,42,CAND_015_BALANCED,346,25,9,5620,0.932615,0.974648,0.953168,0.0044287
CAND_015_BALANCED,123,CAND_015_BALANCED,346,19,9,5626,0.947945,0.974648,0.961111,0.00336581
CAND_030_CONSERVATIVE,42,CAND_030_CONSERVATIVE,346,25,9,5620,0.932615,0.974648,0.953168,0.0044287
CAND_030_CONSERVATIVE,123,CAND_030_CONSERVATIVE,346,19,9,5626,0.947945,0.974648,0.961111,0.00336581
CAND_007_RECALL,42,CAND_007_RECALL,346,25,9,5620,0.932615,0.974648,0.953168,0.0044287
CAND_007_RECALL,123,CAND_007_RECALL,346,19,9,5626,0.947945,0.974648,0.961111,0.00336581
