seed,lgbm_threshold,TP,FP,FN,TN,Precision,Recall,F1,FPR,delta_TP_vs_baseline,delta_FP_vs_baseline,delta_FN_vs_baseline,delta_F1_vs_baseline,passes_min_fn,passes_strong_fn,passes_fp_22,passes_fp_25,passes_precision_94,passes_precision_935,passes_fpr_005,passes_f1_baseline
42,0.03,353,29,2,5616,0.924084,0.994366,0.957938,0.00513729,7,14,-7,-0.008562,True,True,False,False,False,False,False,False
42,0.04,353,22,2,5623,0.941333,0.994366,0.967123,0.00389725,7,7,-7,0.000623,True,True,True,True,True,True,True,True
42,0.05,353,20,2,5625,0.946381,0.994366,0.96978,0.00354296,7,5,-7,0.00328,True,True,True,True,True,True,True,True
42,0.0524338379,353,20,2,5625,0.946381,0.994366,0.96978,0.00354296,7,5,-7,0.00328,True,True,True,True,True,True,True,True
42,0.06,352,20,3,5625,0.946237,0.991549,0.968363,0.00354296,6,5,-6,0.001863,True,True,True,True,True,True,True,True
42,0.07,352,20,3,5625,0.946237,0.991549,0.968363,0.00354296,6,5,-6,0.001863,True,True,True,True,True,True,True,True
42,0.08,351,19,4,5626,0.948649,0.988732,0.968276,0.00336581,5,4,-5,0.001776,True,True,True,True,True,True,True,True
42,0.09,351,18,4,5627,0.95122,0.988732,0.969613,0.00318866,5,3,-5,0.003113,True,True,True,True,True,True,True,True
42,0.1,351,18,4,5627,0.95122,0.988732,0.969613,0.00318866,5,3,-5,0.003113,True,True,True,True,True,True,True,True
42,0.12,351,16,4,5629,0.956403,0.988732,0.972299,0.00283437,5,1,-5,0.005799,True,True,True,True,True,True,True,True
42,0.15,351,15,4,5630,0.959016,0.988732,0.973648,0.00265722,5,0,-5,0.007148,True,True,True,True,True,True,True,True
42,0.2,351,13,4,5632,0.964286,0.988732,0.976356,0.00230292,5,-2,-5,0.009856,True,True,True,True,True,True,True,True
42,0.3,348,6,7,5639,0.983051,0.980282,0.981664,0.00106289,2,-9,-2,0.015164,True,False,True,True,True,True,True,True
123,0.03,353,39,2,5606,0.90051,0.994366,0.945114,0.00690877,7,24,-7,-0.021386,True,True,False,False,False,False,False,False
123,0.04,353,31,2,5614,0.919271,0.994366,0.955345,0.00549159,7,16,-7,-0.011155,True,True,False,False,False,False,False,False
123,0.05,353,27,2,5618,0.928947,0.994366,0.960544,0.00478299,7,12,-7,-0.005956,True,True,False,False,False,False,True,False
123,0.0524338379,353,27,2,5618,0.928947,0.994366,0.960544,0.00478299,7,12,-7,-0.005956,True,True,False,False,False,False,True,False
123,0.06,352,23,3,5622,0.938667,0.991549,0.964384,0.0040744,6,8,-6,-0.002116,True,True,False,True,False,True,True,False
123,0.07,352,20,3,5625,0.946237,0.991549,0.968363,0.00354296,6,5,-6,0.001863,True,True,True,True,True,True,True,True
123,0.08,351,18,4,5627,0.95122,0.988732,0.969613,0.00318866,5,3,-5,0.003113,True,True,True,True,True,True,True,True
123,0.09,351,17,4,5628,0.953804,0.988732,0.970954,0.00301151,5,2,-5,0.004454,True,True,True,True,True,True,True,True
123,0.1,351,17,4,5628,0.953804,0.988732,0.970954,0.00301151,5,2,-5,0.004454,True,True,True,True,True,True,True,True
123,0.12,351,16,4,5629,0.956403,0.988732,0.972299,0.00283437,5,1,-5,0.005799,True,True,True,True,True,True,True,True
123,0.15,351,15,4,5630,0.959016,0.988732,0.973648,0.00265722,5,0,-5,0.007148,True,True,True,True,True,True,True,True
123,0.2,351,12,4,5633,0.966942,0.988732,0.977716,0.00212578,5,-3,-5,0.011216,True,True,True,True,True,True,True,True
123,0.3,348,8,7,5637,0.977528,0.980282,0.978903,0.00141718,2,-7,-2,0.012403,True,False,True,True,True,True,True,True
