movement_type,category,value_bin,relationship_bin,age_bin,if_bin,lgbm_bin,first_receiver_flag,pix_key_random_flag,count,avg_vl_pix,avg_lgbm_raw,avg_if_percentile,avg_score_final,examples
FN_RECUPERADO,LGBM_GRAY_FIRST_RECEIVER,VL_100_499,REL_10Y_PLUS,AGE_60_69,IF_950_985,LGBM_100_200,1,0,2,300.0,0.184338,0.957011,70.5,"E0000020820260316231246610306525, E0000020820260316231246610306525"
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,VL_000_099,REL_10Y_PLUS,AGE_45_59,IF_LT_800,LGBM_100_200,1,0,2,50.0,0.160793,0.761867,68.38,"E0000020820260123162214303665525, E0000020820260123162214303665525"
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,VL_100_499,REL_10Y_PLUS,AGE_30_44,IF_LT_800,LGBM_050_100,1,0,2,142.0,0.089214,0.477062,64.85,"E0000020820260103172401005155525, E0000020820260103172401005155525"
FN_RECUPERADO,LGBM_LOW_VALUE_FIRST_RECEIVER,VL_100_499,REL_10Y_PLUS,AGE_45_59,IF_LT_800,LGBM_050_100,1,1,2,498.96,0.084772,0.763758,66.15,"E0000020820260227174607667379525, E0000020820260227174607667379525"
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,VL_5K_15K,REL_10Y_PLUS,AGE_45_59,IF_950_985,LGBM_050_100,1,0,2,7000.0,0.058328,0.982187,62.38,"E0000020820260112205611934858525, E0000020820251223185403937189525"
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_500_999,REL_1_3Y,AGE_18_29,IF_LT_800,LGBM_050_100,1,0,2,642.0,0.072119,0.774306,65.78,"E0000020820251220183509720296525, E0000020820251220183509720296525"
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_500_999,REL_3_10Y,AGE_30_44,IF_LT_800,LGBM_050_100,1,0,2,600.0,0.081653,0.556971,62.08,"E0000020820251230204707988723542, E0000020820251223200530359290525"
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,VL_1K_5K,REL_10Y_PLUS,AGE_30_44,IF_995_PLUS,LGBM_100_200,1,0,1,3318.0,0.118093,0.99801,80.7,E0000020820260206125737205447525
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,VL_1K_5K,REL_3_10Y,AGE_18_29,IF_995_PLUS,LGBM_050_100,1,0,1,2906.1,0.07558,0.998507,75.16,E0000020820260129161455923389525
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,VL_5K_15K,REL_0_6M,AGE_LT_18,IF_950_985,LGBM_100_200,1,0,1,9900.0,0.194152,0.972236,67.93,E0000020820251230222318900742525
FP_ADICIONADO,FP_FIRST_RECEIVER_IF_HIGH,VL_5K_15K,REL_10Y_PLUS,AGE_60_69,IF_985_995,LGBM_050_100,1,0,1,13225.0,0.058122,0.991541,67.63,E0000020820260105155155045337525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_100_499,REL_10Y_PLUS,AGE_45_59,IF_950_985,LGBM_100_200,1,0,1,405.0,0.115668,0.964176,67.77,E0000020820251222115029673543525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_100_499,REL_10Y_PLUS,AGE_60_69,IF_LT_800,LGBM_050_100,1,1,1,206.47,0.094033,0.721465,67.13,E0000020820260113211304796873525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,IF_800_950,LGBM_050_100,1,0,1,1328.1,0.071474,0.925366,63.61,E0000020820260102160255580107525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_1K_5K,REL_10Y_PLUS,AGE_60_69,IF_950_985,LGBM_050_100,1,0,1,2600.0,0.067015,0.972236,62.79,E0000020820251220151111979112525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_1K_5K,REL_10Y_PLUS,AGE_70_PLUS,IF_950_985,LGBM_100_200,1,1,1,1128.07,0.194575,0.9591,69.37,E0000020820251230123117984709525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_1K_5K,REL_3_10Y,AGE_30_44,IF_800_950,LGBM_100_200,1,0,1,1200.0,0.123814,0.822271,66.58,E0000020820260121132412577463525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_1K_5K,REL_3_10Y,AGE_45_59,IF_LT_800,LGBM_100_200,1,1,1,1300.0,0.125242,0.715096,64.48,E0000020820251220151254339179525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_500_999,REL_10Y_PLUS,AGE_30_44,IF_LT_800,LGBM_050_100,1,0,1,505.0,0.07504,0.695094,65.15,E0000020820251222022229398552525
FP_ADICIONADO,FP_FIRST_RECEIVER_LOW_CONTEXT,VL_500_999,REL_10Y_PLUS,AGE_45_59,IF_800_950,LGBM_100_200,1,0,1,880.0,0.118832,0.807643,67.15,E0000020820251226214737233154525
