idx,transaction_id,customer_id,event_datetime,is_fraud,vl_pix,nr_idade,qt_tempo_relacionamento_mes,is_first_tx_trimestre,first_receiver_flag,burst_30m_flag,pix_key_random_flag,perfil_vulneravel_se_flag,lgbm_raw,lgbm_mapped,if_percentile,if_raw,se_score,se_patterns_count,se_worst_pattern,beh_score,beh_factors_count,cascade_triggered,cascade_rules,cascade_action,cascade_reason,peso_total,score_final,decisao,veto_aplicado,veto_reason,veto_suppressed_reason,_worker_id,seed,source_file,fp_reducibility_class,fp_reducibility_reason,next_action,flags,value_bin,relationship_bin,age_bin,lgbm_bin,if_bin,score_bin,vl_pix_num,idade_num,rel_meses_num,first_receiver_num,pix_random_num,lgbm_raw_num,if_percentile_num,se_score_num,beh_score_num,score_final_num,veto_reason_norm,veto_suppressed_reason_norm
219,E0000020820251222142606237893525,43657214453,2025-12-22 11:26:07,0,1451.65,60,12,1,1,0,1,0,0.13927822,62.03,0.882376,0.171023,0.0,0,,0.0,0,False,,NONE,,6,66.32,CONFIRMAR,,,,0,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|PIX_RANDOM|REL_CURTO,VL_1K_5K,REL_7_12M,AGE_60_69,LGBM_100_200,IF_800_950,SCORE_CONFIRMAR,1451.65,60.0,12.0,1,1,0.13927822,0.882376,0.0,0.0,66.32,,
382,E0000020820251223191234413722525,18363105791,2025-12-23 16:13:03,0,501.0,79,360,1,1,0,0,0,0.61232594,75.91,0.952732,0.130395,0.0,0,,0.0,0,False,,NONE,,13,85.19,CONFIRMAR,,,,0,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|IF_ALTO,VL_500_999,REL_10Y_PLUS,AGE_70_PLUS,LGBM_300_PLUS,IF_950_985,SCORE_CONFIRMAR,501.0,79.0,360.0,1,0,0.61232594,0.952732,0.0,0.0,85.19,,
415,E0000020820251223235724679775525,62010590163,2025-12-23 20:57:50,0,756.0,49,213,1,1,0,0,0,0.18566358,63.39,0.751418,0.19882,0.0,0,,0.0,0,False,,NONE,,8,69.11,CONFIRMAR,,,,0,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_500_999,REL_10Y_PLUS,AGE_45_59,LGBM_100_200,IF_LT_800,SCORE_CONFIRMAR,756.0,49.0,213.0,1,0,0.18566358,0.751418,0.0,0.0,69.11,,
617,E00000208202512261801CNOj6Rs7523,6954022000177,2025-12-26 15:42:24,0,5286.15,21,80,1,1,0,0,0,0.40957177,69.96,0.951338,0.132068,0.0,0,,15.0,1,False,,NONE,,6,74.25,CONFIRMAR,,,,0,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|VALOR_5K_PLUS|IF_ALTO|BEH_ATIVO,VL_5K_15K,REL_3_10Y,AGE_18_29,LGBM_300_PLUS,IF_950_985,SCORE_CONFIRMAR,5286.15,21.0,80.0,1,0,0.40957177,0.951338,0.0,15.0,74.25,,
944,E0000020820251230155034669662525,56473524134,2025-12-30 12:50:50,0,1220.0,53,368,0,1,1,0,0,0.95354128,93.41,0.995323,-0.002125,65.0,2,BURST_ESVAZIAMENTO_CONTA,0.0,0,True,IF999_BURST,CONFIRM,IF999_BURST,18,100.0,BLOQUEAR,True,VETO BLOQUEAR: LGBM=95.4% + IF=99.5% ≥ 90%,,0,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|IF_EXTREMO|SE_ATIVO,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_300_PLUS,IF_995_PLUS,SCORE_BLOQUEAR,1220.0,53.0,368.0,1,0,0.95354128,0.995323,65.0,0.0,100.0,VETO BLOQUEAR: LGBM=95.4% + IF=99.5% ≥ 90%,
51,E0000020820260107155324997736525,4882859173,2026-01-07 12:53:37,0,1173.74,30,102,1,1,0,0,0,0.27845417,66.11,0.8368,0.183221,0.0,0,,0.0,0,False,,NONE,,4,68.97,CONFIRMAR,,,,1,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,1173.74,30.0,102.0,1,0,0.27845417,0.8368,0.0,0.0,68.97,,
53,E0000020820260107160524192302525,37625659100,2026-01-07 13:05:44,0,3509.0,61,419,1,1,0,0,0,0.94568731,91.45,0.969549,0.11017,0.0,0,,0.0,0,False,,NONE,,11,99.31,BLOQUEAR,True,VETO BLOQUEAR: LGBM=94.6% + IF=97.0% ≥ 90%,,1,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|IF_ALTO,VL_1K_5K,REL_10Y_PLUS,AGE_60_69,LGBM_300_PLUS,IF_950_985,SCORE_BLOQUEAR,3509.0,61.0,419.0,1,0,0.94568731,0.969549,0.0,0.0,99.31,VETO BLOQUEAR: LGBM=94.6% + IF=97.0% ≥ 90%,
1145,E0000020820260119131758697812525,19447213120,2026-01-19 10:18:52,0,2700.0,78,9,1,1,0,0,0,0.11193422,61.23,0.982287,0.068385,0.0,0,,20.0,1,False,,NONE,,10,68.37,CONFIRMAR,,,,1,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|REL_CURTO|IF_ALTO|BEH_ATIVO,VL_1K_5K,REL_7_12M,AGE_70_PLUS,LGBM_100_200,IF_950_985,SCORE_CONFIRMAR,2700.0,78.0,9.0,1,0,0.11193422,0.982287,0.0,20.0,68.37,,
1217,E0000020820260120125212520624525,53916875191,2026-01-20 09:53:07,0,1000.0,65,382,1,1,0,0,0,0.20763756,64.04,0.883073,0.170837,0.0,0,,0.0,0,False,,NONE,,10,71.18,CONFIRMAR,,,,1,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_10Y_PLUS,AGE_60_69,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,1000.0,65.0,382.0,1,0,0.20763756,0.883073,0.0,0.0,71.18,,
1351,E0000020820260121232726324521525,715134698,2026-01-21 20:28:01,0,1000.0,45,10,1,1,0,0,0,0.30128702,66.78,0.676087,0.209362,0.0,0,,0.0,0,False,,NONE,,3,68.93,CONFIRMAR,,,,1,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|REL_CURTO,VL_1K_5K,REL_7_12M,AGE_45_59,LGBM_300_PLUS,IF_LT_800,SCORE_CONFIRMAR,1000.0,45.0,10.0,1,0,0.30128702,0.676087,0.0,0.0,68.93,,
