fp_reducibility_class,next_action,value_bin,relationship_bin,age_bin,lgbm_bin,if_bin,score_bin,first_receiver_num,pix_random_num,count,seeds,avg_vl_pix,avg_lgbm_raw,avg_if_percentile,avg_se_score,avg_beh_score,avg_score_final,examples
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_300_PLUS,IF_800_950,SCORE_CONFIRMAR,1,0,2,123,2229.55,0.376144,0.862922,0.0,0.0,73.62,"E0000020820251221194837252228525, E0000020820260122191621952962525"
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_7_12M,AGE_45_59,LGBM_300_PLUS,IF_LT_800,SCORE_CONFIRMAR,1,0,2,"42,123",1000.0,0.301287,0.676087,0.0,0.0,68.93,"E0000020820260121232726324521525, E0000020820260121232726324521525"
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_15K_PLUS,REL_3_10Y,AGE_LT_18,LGBM_300_PLUS,IF_995_PLUS,SCORE_BLOQUEAR,1,0,1,42,18000.0,0.88262,0.997811,40.0,15.0,95.98,E0000020820260227155924395861525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_5K_15K,REL_10Y_PLUS,AGE_30_44,LGBM_100_200,IF_950_985,SCORE_CONFIRMAR,1,0,1,123,10000.0,0.101158,0.976018,40.0,15.0,70.91,E0000020820260107175210965112525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_5K_15K,REL_10Y_PLUS,AGE_60_69,LGBM_200_300,IF_985_995,SCORE_CONFIRMAR,1,0,1,123,10000.0,0.27907,0.988656,40.0,15.0,75.42,E0000020820260107092038001505525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_5K_15K,REL_3_10Y,AGE_30_44,LGBM_300_PLUS,IF_995_PLUS,SCORE_CONFIRMAR,0,0,1,42,7350.0,0.340024,0.997711,0.0,0.0,72.92,E0000020820260127183841526342525
FP_WITH_SUPPRESSED_VETO,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_5K_15K,REL_3_10Y,AGE_LT_18,LGBM_050_100,IF_995_PLUS,SCORE_CONFIRMAR,1,0,1,42,6440.0,0.061714,0.998507,80.0,0.0,75.14,E0000020820260209210251210658525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_5K_15K,REL_3_10Y,AGE_18_29,LGBM_300_PLUS,IF_950_985,SCORE_CONFIRMAR,1,0,1,42,5286.15,0.409572,0.951338,0.0,15.0,74.25,E00000208202512261801CNOj6Rs7523
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_5K_15K,REL_10Y_PLUS,AGE_45_59,LGBM_300_PLUS,IF_950_985,SCORE_CONFIRMAR,1,0,1,123,5000.0,0.510906,0.974525,0.0,15.0,80.79,E0000020820251229164240054793525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_10Y_PLUS,AGE_60_69,LGBM_300_PLUS,IF_950_985,SCORE_BLOQUEAR,1,0,1,42,3509.0,0.945687,0.969549,0.0,0.0,99.31,E0000020820260107160524192302525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_7_12M,AGE_70_PLUS,LGBM_100_200,IF_950_985,SCORE_CONFIRMAR,1,0,1,42,2700.0,0.111934,0.982287,0.0,20.0,68.37,E0000020820260119131758697812525
FP_WITH_SUPPRESSED_VETO,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_050_100,IF_995_PLUS,SCORE_CONFIRMAR,1,0,1,123,2000.0,0.077326,0.99801,80.0,20.0,82.36,E0000020820260209150712833670525
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,1,0,1,123,1750.0,0.294451,0.932431,0.0,0.0,73.01,E0000020820251220105508339547525
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_7_12M,AGE_60_69,LGBM_100_200,IF_800_950,SCORE_CONFIRMAR,1,1,1,42,1451.65,0.139278,0.882376,0.0,0.0,66.32,E0000020820251222142606237893525
FP_NOT_OBVIOUS,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_300_PLUS,IF_995_PLUS,SCORE_BLOQUEAR,1,0,1,42,1220.0,0.953541,0.995323,65.0,0.0,100.0,E0000020820251230155034669662525
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,1,0,1,42,1173.74,0.278454,0.8368,0.0,0.0,68.97,E0000020820260107155324997736525
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_300_PLUS,IF_800_950,SCORE_CONFIRMAR,1,0,1,42,1098.0,0.307274,0.84287,0.0,0.0,75.53,E0000020820260207115925633362525
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_10Y_PLUS,AGE_60_69,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,1,0,1,42,1000.0,0.207638,0.883073,0.0,0.0,71.18,E0000020820260120125212520624525
FP_FIRST_RECEIVER_LOW_CONTEXT,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_100_200,IF_800_950,SCORE_CONFIRMAR,1,0,1,123,1000.0,0.177019,0.806846,0.0,0.0,66.0,E0000020820260131142258109753525
