score_col,threshold,label,TP,FP,FN,TN,Precision,Recall,F1,FPR,fns_recuperados,fps_adicionados,tps_perdidos,fps_removidos,rule_hits,delta_FN_vs_post_c1,delta_FP_vs_post_c1,delta_F1_vs_post_c1,passes_strict_shadow,passes_relaxed_shadow
shadow_prob_RF_SHALLOW_BALANCED,0.0462,shadow_prob_RF_SHALLOW_BALANCED_0.0462,353,206,2,10769,0.631485,0.994366,0.772429,0.01876993,6,181,0,0,187,-6,181,-0.182179,False,False
shadow_prob_ENSEMBLE_MEAN,0.0462,shadow_prob_ENSEMBLE_MEAN_0.0462,353,214,2,10761,0.622575,0.994366,0.765727,0.01949886,6,189,0,0,195,-6,189,-0.188881,False,False
shadow_prob_EXTRATREES_SHALLOW_BALANCED,0.0462,shadow_prob_EXTRATREES_SHALLOW_BALANCED_0.0462,353,235,2,10740,0.60034,0.994366,0.748674,0.0214123,6,210,0,0,216,-6,210,-0.205934,False,False
shadow_prob_RF_SHALLOW_BALANCED,0.0186,shadow_prob_RF_SHALLOW_BALANCED_0.0186,353,380,2,10595,0.481583,0.994366,0.648897,0.03462415,6,355,0,0,361,-6,355,-0.305711,False,False
shadow_prob_ENSEMBLE_MEAN,0.0186,shadow_prob_ENSEMBLE_MEAN_0.0186,353,779,2,10196,0.311837,0.994366,0.474781,0.0709795,6,754,0,0,760,-6,754,-0.479827,False,False
shadow_prob_EXTRATREES_SHALLOW_BALANCED,0.0186,shadow_prob_EXTRATREES_SHALLOW_BALANCED_0.0186,353,1403,2,9572,0.201025,0.994366,0.334439,0.12783599,6,1378,0,0,1384,-6,1378,-0.620169,False,False
shadow_prob_LOGREG_BALANCED,0.0462,shadow_prob_LOGREG_BALANCED_0.0462,352,349,3,10626,0.50214,0.991549,0.666667,0.03179954,5,324,0,0,329,-5,324,-0.287941,False,False
shadow_prob_LOGREG_BALANCED,0.0186,shadow_prob_LOGREG_BALANCED_0.0186,352,1084,3,9891,0.245125,0.991549,0.393076,0.09876993,5,1059,0,0,1064,-5,1059,-0.561532,False,False
shadow_prob_LOGREG_BALANCED,0.9,shadow_prob_LOGREG_BALANCED_0.9,351,34,4,10941,0.911688,0.988732,0.948649,0.00309795,4,9,0,0,13,-4,9,-0.005959,False,False
shadow_prob_LOGREG_BALANCED,0.85,shadow_prob_LOGREG_BALANCED_0.85,351,35,4,10940,0.909326,0.988732,0.947368,0.00318907,4,10,0,0,14,-4,10,-0.00724,False,False
shadow_prob_LOGREG_BALANCED,0.8,shadow_prob_LOGREG_BALANCED_0.8,351,36,4,10939,0.906977,0.988732,0.946092,0.00328018,4,11,0,0,15,-4,11,-0.008516,False,False
shadow_prob_LOGREG_BALANCED,0.75,shadow_prob_LOGREG_BALANCED_0.75,351,38,4,10937,0.902314,0.988732,0.943548,0.00346241,4,13,0,0,17,-4,13,-0.01106,False,False
shadow_prob_LOGREG_BALANCED,0.6,shadow_prob_LOGREG_BALANCED_0.6,351,41,4,10934,0.895408,0.988732,0.939759,0.00373576,4,16,0,0,20,-4,16,-0.014849,False,False
shadow_prob_LOGREG_BALANCED,0.7,shadow_prob_LOGREG_BALANCED_0.7,351,41,4,10934,0.895408,0.988732,0.939759,0.00373576,4,16,0,0,20,-4,16,-0.014849,False,False
shadow_prob_LOGREG_BALANCED,0.5,shadow_prob_LOGREG_BALANCED_0.5,351,42,4,10933,0.89313,0.988732,0.938503,0.00382688,4,17,0,0,21,-4,17,-0.016105,False,False
shadow_prob_RF_SHALLOW_BALANCED,0.5,shadow_prob_RF_SHALLOW_BALANCED_0.5,351,47,4,10928,0.88191,0.988732,0.932271,0.00428246,4,22,0,0,26,-4,22,-0.022337,False,False
shadow_prob_EXTRATREES_SHALLOW_BALANCED,0.6,shadow_prob_EXTRATREES_SHALLOW_BALANCED_0.6,351,56,4,10919,0.862408,0.988732,0.92126,0.00510251,4,31,0,0,35,-4,31,-0.033348,False,False
