model,feature,importance
EXTRATREES_SHALLOW_BALANCED,meta_lgbm_very_low,0.2514558630919253
EXTRATREES_SHALLOW_BALANCED,lgbm_mapped,0.14808196823574443
EXTRATREES_SHALLOW_BALANCED,meta_score_gap_confirmar,0.13293652183720875
EXTRATREES_SHALLOW_BALANCED,score_final,0.11333373488697891
EXTRATREES_SHALLOW_BALANCED,lgbm_raw,0.10352988259215626
EXTRATREES_SHALLOW_BALANCED,meta_if_high,0.05548306610632587
EXTRATREES_SHALLOW_BALANCED,meta_se_or_beh,0.039365980314609764
EXTRATREES_SHALLOW_BALANCED,meta_lgbm_x_first,0.02978123493399822
EXTRATREES_SHALLOW_BALANCED,meta_score_x_first,0.02684842796314538
EXTRATREES_SHALLOW_BALANCED,meta_log_vl_pix,0.023824833148844544
EXTRATREES_SHALLOW_BALANCED,meta_se_plus_beh,0.017837235668735896
EXTRATREES_SHALLOW_BALANCED,meta_if_extreme,0.01703379550690062
EXTRATREES_SHALLOW_BALANCED,if_percentile,0.009992947298285457
EXTRATREES_SHALLOW_BALANCED,first_receiver_flag,0.008744040523731055
EXTRATREES_SHALLOW_BALANCED,se_score,0.007800709513892752
EXTRATREES_SHALLOW_BALANCED,meta_valor_x_first,0.002809296653368043
EXTRATREES_SHALLOW_BALANCED,meta_valor_5k_plus,0.0025491945177056954
EXTRATREES_SHALLOW_BALANCED,meta_age_60_plus,0.002101682302339431
EXTRATREES_SHALLOW_BALANCED,beh_score,0.0020867515746506426
EXTRATREES_SHALLOW_BALANCED,meta_if_x_first,0.0010708130809618014
EXTRATREES_SHALLOW_BALANCED,meta_lgbm_gray,0.001003656598011198
EXTRATREES_SHALLOW_BALANCED,meta_valor_100_500,0.0006046929344959303
EXTRATREES_SHALLOW_BALANCED,pix_key_random_flag,0.0005018034963117274
EXTRATREES_SHALLOW_BALANCED,vl_pix,0.0003320851581971901
EXTRATREES_SHALLOW_BALANCED,meta_score_near_confirmar,0.00029411546020896676
EXTRATREES_SHALLOW_BALANCED,meta_rel_curto,0.0001483903912147946
EXTRATREES_SHALLOW_BALANCED,qt_tempo_relacionamento_mes,0.00011042509355566909
EXTRATREES_SHALLOW_BALANCED,nr_idade,0.00010737857010615983
EXTRATREES_SHALLOW_BALANCED,meta_rel_inv,9.131804953778557e-05
EXTRATREES_SHALLOW_BALANCED,meta_valor_15k_plus,8.193260305084625e-05
LOGREG_BALANCED,lgbm_mapped,2.694648103474361
LOGREG_BALANCED,pix_key_random_flag,2.1699320624125455
LOGREG_BALANCED,meta_age_60_plus,1.0037009450678744
LOGREG_BALANCED,meta_lgbm_x_first,0.9041988473309107
LOGREG_BALANCED,meta_score_gap_confirmar,0.8599807149076854
LOGREG_BALANCED,score_final,0.8599807149076729
LOGREG_BALANCED,meta_valor_100_500,0.8008312501855958
LOGREG_BALANCED,meta_log_vl_pix,0.5866673713924506
LOGREG_BALANCED,if_percentile,0.58579499235559
LOGREG_BALANCED,nr_idade,0.5561119782997668
LOGREG_BALANCED,meta_score_x_first,0.5277175092114385
LOGREG_BALANCED,meta_valor_15k_plus,0.5200120998564993
LOGREG_BALANCED,meta_if_high,0.4570343876952555
LOGREG_BALANCED,meta_relcurto_x_first,0.43774242622966736
LOGREG_BALANCED,meta_se_or_beh,0.39598260536042124
LOGREG_BALANCED,first_receiver_flag,0.3680357018887529
LOGREG_BALANCED,meta_if_x_first,0.3654943489379303
LOGREG_BALANCED,meta_rel_curto,0.29086243105399195
LOGREG_BALANCED,meta_score_near_confirmar,0.27549761357981933
LOGREG_BALANCED,qt_tempo_relacionamento_mes,0.24807121189121523
LOGREG_BALANCED,meta_rel_inv,0.1840654493041647
LOGREG_BALANCED,beh_score,0.17208615165896085
LOGREG_BALANCED,meta_lgbm_gray,0.15859843246337624
LOGREG_BALANCED,meta_valor_x_first,0.13682852658136915
LOGREG_BALANCED,lgbm_raw,0.10972588402337635
LOGREG_BALANCED,meta_se_plus_beh,0.0625204351962928
LOGREG_BALANCED,meta_lgbm_very_low,0.04253431249690901
LOGREG_BALANCED,vl_pix,0.02002617823063601
LOGREG_BALANCED,meta_if_extreme,0.005498306023956994
LOGREG_BALANCED,se_score,0.004089887031403139
