threshold,tp,fp,fn,tn,precision,recall,f1,fpr
0.0,355,5645,0,0,0.059167,1.0,0.111723,1.0
1.0,355,4403,0,1242,0.074611,1.0,0.138862,0.77998229
2.0,354,3596,1,2049,0.08962,0.997183,0.16446,0.63702391
3.0,354,2820,1,2825,0.111531,0.997183,0.200623,0.49955713
4.0,354,2151,1,3494,0.141317,0.997183,0.247552,0.38104517
5.0,353,1601,2,4044,0.180655,0.994366,0.30576,0.28361382
6.0,353,890,2,4755,0.28399,0.994366,0.441802,0.15766165
7.0,353,640,2,5005,0.355488,0.994366,0.523739,0.11337467
8.0,353,351,2,5294,0.50142,0.994366,0.666667,0.06217892
9.0,353,264,2,5381,0.572123,0.994366,0.726337,0.04676705
10.0,353,214,2,5431,0.622575,0.994366,0.765727,0.03790965
11.0,353,162,2,5483,0.685437,0.994366,0.811494,0.02869796
12.0,353,144,2,5501,0.710262,0.994366,0.828638,0.0255093
13.0,353,122,2,5523,0.743158,0.994366,0.850602,0.02161205
14.0,353,108,2,5537,0.765727,0.994366,0.865196,0.01913198
15.0,353,93,2,5552,0.79148,0.994366,0.881398,0.01647476
16.0,353,84,2,5561,0.80778,0.994366,0.891414,0.01488043
17.0,353,77,2,5568,0.82093,0.994366,0.899363,0.01364039
18.0,352,70,3,5575,0.834123,0.991549,0.906049,0.01240035
19.0,352,60,3,5585,0.854369,0.991549,0.917862,0.01062888
20.0,352,54,3,5591,0.866995,0.991549,0.925099,0.00956599
21.0,352,54,3,5591,0.866995,0.991549,0.925099,0.00956599
22.0,351,53,4,5592,0.868812,0.988732,0.924901,0.00938884
23.0,351,50,4,5595,0.875312,0.988732,0.928571,0.0088574
24.0,351,48,4,5597,0.879699,0.988732,0.931034,0.0085031
25.0,351,46,4,5599,0.884131,0.988732,0.933511,0.0081488
26.0,351,45,4,5600,0.886364,0.988732,0.934754,0.00797166
27.0,351,45,4,5600,0.886364,0.988732,0.934754,0.00797166
28.0,351,44,4,5601,0.888608,0.988732,0.936,0.00779451
29.0,351,43,4,5602,0.890863,0.988732,0.93725,0.00761736
30.0,351,43,4,5602,0.890863,0.988732,0.93725,0.00761736
31.0,351,41,4,5604,0.895408,0.988732,0.939759,0.00726306
32.0,351,39,4,5606,0.9,0.988732,0.942282,0.00690877
33.0,351,39,4,5606,0.9,0.988732,0.942282,0.00690877
34.0,351,37,4,5608,0.904639,0.988732,0.944818,0.00655447
35.0,351,36,4,5609,0.906977,0.988732,0.946092,0.00637733
36.0,351,36,4,5609,0.906977,0.988732,0.946092,0.00637733
37.0,351,34,4,5611,0.911688,0.988732,0.948649,0.00602303
38.0,351,32,4,5613,0.916449,0.988732,0.95122,0.00566873
